source_index,value,target_qps,idle_enabled,sleep_us,bud,reported_sustain_pct,achieved_qps,p50_us,p99_us,p999_us,max_us,send_lag_p99_us,scheduled,dispatched,completed,shed,client_cpu_user_pct,client_cpu_sys_pct,client_cpu_pct,server_cpu_user_pct,server_cpu_sys_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status
1,1600 × Falsex0xFalsex0 × 0x0,1600,false,0,0,100.0,1600.0,80.7,224.0,297.9,5000.0,11809.0,23420,23420,23420,0,289.9,109.4,399.3,273.7,95.2,368.9,246340,19084,1,✅
2,1600 × Falsex0xFalsex0 × 1x1,1600,false,0,1,100.0,1600.0,85.8,231.1,353.9,9000.0,11949.0,23415,23415,23415,0,291.1,108.5,399.5,272.4,96.6,369.0,254380,19084,1,✅
3,1600 × Falsex0xFalsex0 × 16x16,1600,false,0,16,100.0,1600.0,81.2,229.8,297.6,8100.0,11761.0,23419,23419,23419,0,292.1,107.1,399.2,272.2,96.7,368.9,260852,19088,1,✅
4,1600 × Falsex0xFalsex0 × 256x256,1600,false,0,256,100.0,1600.0,84.1,222.0,295.6,9100.0,11993.0,23416,23416,23416,0,289.5,109.2,398.8,271.8,97.1,368.9,262580,19088,1,✅
5,1600 × Truex1xTruex1 × 0x0,1600,true,1,0,100.0,1600.0,57.1,99.7,174.3,200.0,98.5,23416,23416,23416,0,15.9,264.8,280.7,58.0,128.6,186.6,255100,19084,1,✅
6,1600 × Truex1xTruex1 × 1x1,1600,true,1,1,100.0,1600.0,56.0,99.5,163.5,200.0,98.6,23416,23416,23416,0,16.6,264.4,280.9,55.5,131.7,187.2,273144,19084,1,✅
7,1600 × Truex1xTruex1 × 16x16,1600,true,1,16,100.0,1600.0,51.5,99.5,161.9,200.0,98.8,23416,23416,23416,0,193.1,170.0,363.1,187.6,113.8,301.3,241828,19072,1,✅
8,1600 × Truex1xTruex1 × 256x256,1600,true,1,256,100.0,1600.0,41.3,196.6,288.9,400.0,422.9,23416,23416,23416,0,285.3,111.3,396.6,266.2,96.7,363.0,275972,19088,1,✅
9,1600 × Truex10xTruex10 × 0x0,1600,true,10,0,100.0,1600.0,63.1,122.5,192.8,400.0,99.6,23416,23416,23416,0,25.4,63.8,89.2,7.5,40.0,47.5,252680,19072,1,✅
10,1600 × Truex10xTruex10 × 1x1,1600,true,10,1,100.0,1600.0,62.5,113.1,193.1,400.0,99.4,23416,23416,23416,0,23.7,65.1,88.8,7.2,40.2,47.4,255972,19088,1,✅
11,1600 × Truex10xTruex10 × 16x16,1600,true,10,16,100.0,1600.0,59.2,111.1,190.1,200.0,99.9,23416,23416,23416,0,209.4,112.5,321.9,98.8,51.3,150.0,273624,19072,1,✅
12,1600 × Truex10xTruex10 × 256x256,1600,true,10,256,100.0,1600.0,44.1,205.2,298.4,1200.0,418.2,23416,23416,23416,0,290.5,105.8,396.4,245.9,88.1,334.0,253932,19088,1,✅
13,1600 × Truex100xTruex100 × 0x0,1600,true,100,0,100.0,1600.0,143.8,285.8,298.7,400.0,98.9,23416,23416,23416,0,5.5,9.0,14.6,1.7,4.5,6.2,272704,19084,1,✅
14,1600 × Truex100xTruex100 × 1x1,1600,true,100,1,100.0,1600.0,147.5,288.1,298.8,300.0,99.0,23416,23416,23416,0,6.0,8.6,14.5,1.6,4.6,6.2,249516,19088,1,✅
15,1600 × Truex100xTruex100 × 16x16,1600,true,100,16,100.0,1600.0,141.8,277.1,297.9,1100.0,99.2,23416,23416,23416,0,38.9,16.4,55.3,14.9,10.6,25.4,284648,19068,1,✅
16,1600 × Truex100xTruex100 × 256x256,1600,true,100,256,100.0,1600.0,87.1,302.1,397.7,600.0,398.9,23416,23416,23416,0,286.8,107.1,393.9,138.1,48.3,186.4,247260,19084,1,✅
17,16000 × Falsex0xFalsex0 × 0x0,16000,false,0,0,100.0,16100,565.0,972.7,1209.0,9300.0,11820.0,241374,241374,241374,0,289.1,110.0,399.1,271.4,97.5,369.0,256904,19088,1,✅
18,16000 × Falsex0xFalsex0 × 1x1,16000,false,0,1,99.7,16000.0,585.5,1323.0,12954.0,13100.0,19264.0,241354,240613,240613,741,285.1,110.7,395.8,272.6,96.2,368.9,274884,19088,1,✅
19,16000 × Falsex0xFalsex0 × 16x16,16000,false,0,16,100.0,16100,499.0,1066.0,1313.0,5900.0,11754.0,241346,241346,241346,0,288.1,111.1,399.2,272.8,96.1,368.9,257580,19084,1,✅
20,16000 × Falsex0xFalsex0 × 256x256,16000,false,0,256,100.0,16100,500.8,1060.0,1270.0,9500.0,11751.0,241340,241340,241340,0,290.3,108.8,399.1,272.8,96.1,368.9,272288,19088,1,✅
21,16000 × Truex1xTruex1 × 0x0,16000,true,1,0,100.0,16100,56.7,196.2,1210.0,2100.0,245.0,241372,241372,241372,0,30.7,262.4,293.1,60.2,129.5,189.7,228208,19080,1,✅
22,16000 × Truex1xTruex1 × 1x1,16000,true,1,1,100.0,16100,62.8,184.8,877.3,1600.0,99.1,241372,241372,241372,0,36.9,255.6,292.5,61.1,128.7,189.9,258216,19088,1,✅
23,16000 × Truex1xTruex1 × 16x16,16000,true,1,16,100.0,16100,53.0,110.7,190.2,300.0,98.7,241371,241371,241371,0,208.9,157.8,366.8,188.4,113.8,302.2,267640,19088,1,✅
24,16000 × Truex1xTruex1 × 256x256,16000,true,1,256,100.0,16100,57.3,292.2,496.0,1400.0,520.6,241368,241368,241368,0,294.5,102.0,396.5,268.6,94.5,363.1,272024,19084,1,✅
25,16000 × Truex10xTruex10 × 0x0,16000,true,10,0,100.0,16100,64.2,173.5,197.8,1100.0,99.1,241368,241368,241368,0,70.4,62.9,133.3,13.9,39.5,53.4,235548,19084,1,✅
26,16000 × Truex10xTruex10 × 1x1,16000,true,10,1,100.0,16100,70.5,189.8,203.8,1300.0,100.5,241368,241368,241368,0,66.7,62.5,129.2,13.7,39.4,53.1,268184,19084,1,✅
27,16000 × Truex10xTruex10 × 16x16,16000,true,10,16,100.0,16100,63.9,180.5,199.0,1100.0,100.0,241372,241372,241372,0,226.2,104.8,330.9,104.5,50.1,154.6,254148,19076,1,✅
28,16000 × Truex10xTruex10 × 256x256,16000,true,10,256,100.0,16100,54.4,261.2,403.4,800.0,458.9,241370,241370,241370,0,295.6,100.7,396.3,247.7,87.7,335.4,252596,19072,1,✅
29,16000 × Truex100xTruex100 × 0x0,16000,true,100,0,100.0,16100,152.0,292.3,301.1,1200.0,99.4,241369,241369,241369,0,41.8,12.4,54.3,7.6,4.5,12.1,299500,19088,1,✅
30,16000 × Truex100xTruex100 × 1x1,16000,true,100,1,100.0,16100,157.1,296.6,376.6,1200.0,99.2,241368,241368,241368,0,42.2,12.1,54.3,8.5,4.5,13.0,252428,19084,1,✅
31,16000 × Truex100xTruex100 × 16x16,16000,true,100,16,100.0,16100,146.8,288.7,313.2,1000.0,99.0,241372,241372,241372,0,76.7,21.9,98.7,21.2,9.7,30.9,239300,19088,1,✅
32,16000 × Truex100xTruex100 × 256x256,16000,true,100,256,100.0,16100,93.7,411.5,576.9,1000.0,839.3,241371,241371,241371,0,295.6,99.8,395.5,143.3,48.7,192.1,260152,19088,1,✅
33,40000 × Falsex0xFalsex0 × 0x0,40000,false,0,0,100.0,40200.0,1444.0,2462.0,2727.0,8800.0,11717.0,602837,602837,602837,0,292.5,106.8,399.3,273.7,95.3,369.0,262744,19076,1,✅
34,40000 × Falsex0xFalsex0 × 1x1,40000,false,0,1,99.2,39900.0,1411.0,2395.0,13023.0,21600.0,17599.0,602912,597955,597955,4957,284.5,111.5,395.9,272.0,97.0,369.0,238992,19088,1,✅
35,40000 × Falsex0xFalsex0 × 16x16,40000,false,0,16,100.0,40200.0,1205.0,2492.0,3063.0,9200.0,11812.0,602833,602833,602833,0,292.8,106.5,399.3,272.1,96.8,368.9,284400,19084,1,✅
36,40000 × Falsex0xFalsex0 × 256x256,40000,false,0,256,100.0,40200.0,1201.0,2593.0,4279.0,11900.0,12295.0,602946,602946,602946,0,288.6,110.6,399.1,272.7,96.2,368.9,271064,19088,1,✅
37,40000 × Truex1xTruex1 × 0x0,40000,true,1,0,100.0,40200.0,77.7,264.0,1095.0,3400.0,99.4,603040,603040,603040,0,71.4,239.4,310.9,69.7,126.3,195.9,242608,19080,1,✅
38,40000 × Truex1xTruex1 × 1x1,40000,true,1,1,100.0,40200.0,74.8,248.5,1738.0,4100.0,99.5,603040,603040,603040,0,71.1,239.4,310.5,74.1,121.7,195.9,274320,19084,1,✅
39,40000 × Truex1xTruex1 × 16x16,40000,true,1,16,99.8,40100.0,74.5,203.2,2574.0,28600.0,177.5,603040,601806,601806,1234,230.6,138.0,368.6,194.9,109.3,304.2,258196,19088,1,✅
40,40000 × Truex1xTruex1 × 256x256,40000,true,1,256,100.0,40200.0,83.6,530.5,1929.0,5100.0,579.9,603034,603034,603034,0,303.0,93.9,396.9,270.1,93.4,363.4,252840,19084,1,✅
41,40000 × Truex10xTruex10 × 0x0,40000,true,10,0,100.0,40200.0,84.8,225.9,303.5,1600.0,124.8,603040,603040,603040,0,119.1,64.8,183.9,23.2,38.5,61.7,290344,19088,1,✅
42,40000 × Truex10xTruex10 × 1x1,40000,true,10,1,100.0,40200.0,82.8,226.8,384.7,72100.0,129.0,603040,602800,602800,240,120.2,62.2,182.4,22.4,39.0,61.4,246976,19072,1,✅
43,40000 × Truex10xTruex10 × 16x16,40000,true,10,16,100.0,40200.0,78.5,210.1,292.8,1400.0,158.3,603040,603040,603040,0,244.2,100.2,344.4,112.0,48.3,160.3,272320,19088,1,✅
44,40000 × Truex10xTruex10 × 256x256,40000,true,10,256,100.0,40200.0,87.2,527.6,894.7,2000.0,733.9,603030,603030,603030,0,303.7,93.2,396.9,252.2,84.4,336.6,267152,19076,1,✅
45,40000 × Truex100xTruex100 × 0x0,40000,true,100,0,100.0,40200.0,164.6,301.4,392.1,1600.0,109.2,603040,603040,603040,0,98.1,16.2,114.2,16.1,5.0,21.2,238912,19088,1,✅
46,40000 × Truex100xTruex100 × 1x1,40000,true,100,1,100.0,40200.0,165.7,305.2,393.9,1500.0,114.0,603040,603040,603040,0,95.3,18.1,113.4,17.0,4.8,21.8,238360,19084,1,✅
47,40000 × Truex100xTruex100 × 16x16,40000,true,100,16,99.8,40100.0,158.8,311.1,398.5,250000.0,116.4,603040,601993,601993,1047,126.3,28.4,154.7,30.9,9.1,40.0,263996,19076,1,✅
48,40000 × Truex100xTruex100 × 256x256,40000,true,100,256,100.0,40200.0,141.5,683.6,1103.0,1800.0,1622.0,603035,603035,603035,0,304.2,92.6,396.8,148.2,48.3,196.5,253268,19084,1,✅
49,80000 × Falsex0xFalsex0 × 0x0,80000,false,0,0,99.9,80000.0,2310.0,12468.0,13594.0,25600.0,12614.0,1201677,1200271,1200271,1406,295.6,103.6,399.2,281.3,87.5,368.8,237412,19084,1,✅
50,80000 × Falsex0xFalsex0 × 1x1,80000,false,0,1,99.9,80000.0,2498.0,13133.0,13671.0,17800.0,11616.0,1201604,1200741,1200741,863,294.5,104.6,399.1,281.6,87.1,368.7,248668,19088,1,✅
51,80000 × Falsex0xFalsex0 × 16x16,80000,false,0,16,99.9,80000.0,2493.0,13154.0,13661.0,20200.0,11604.0,1201500,1200581,1200581,919,296.5,102.5,399.1,284.1,84.9,369.0,278100,19084,1,✅
52,80000 × Falsex0xFalsex0 × 256x256,80000,false,0,256,99.8,79900.0,2285.0,15907.0,17672.0,22800.0,15275.0,1201400,1199215,1199215,2185,296.9,102.4,399.2,280.1,88.8,368.9,245844,19072,1,✅
53,80000 × Truex1xTruex1 × 0x0,80000,true,1,0,100.0,80100.0,110.2,1352.0,7446.0,11100.0,177.7,1201880,1201880,1201880,0,138.8,198.8,337.6,79.4,123.0,202.5,253328,19084,1,✅
54,80000 × Truex1xTruex1 × 1x1,80000,true,1,1,100.0,80100.0,103.2,1244.0,5980.0,10300.0,190.2,1201879,1201879,1201879,0,143.9,193.4,337.4,77.8,124.7,202.4,258216,19088,1,✅
55,80000 × Truex1xTruex1 × 16x16,80000,true,1,16,100.0,80100.0,97.2,392.8,1837.0,3800.0,193.0,1201878,1201878,1201878,0,267.3,111.5,378.8,201.3,105.3,306.7,287316,19088,1,✅
56,80000 × Truex1xTruex1 × 256x256,80000,true,1,256,100.0,80100.0,176.3,1473.0,4271.0,10200.0,1110.0,1201868,1201868,1201868,0,319.5,78.0,397.6,274.0,89.6,363.6,260576,19080,1,✅
57,80000 × Truex10xTruex10 × 0x0,80000,true,10,0,100.0,80100.0,111.6,338.3,496.5,2000.0,182.3,1201877,1201877,1201877,0,194.2,61.9,256.1,36.1,38.0,74.2,251680,19088,1,✅
58,80000 × Truex10xTruex10 × 1x1,80000,true,10,1,100.0,80100.0,117.3,361.6,584.6,2500.0,182.2,1201880,1201880,1201880,0,195.5,60.1,255.6,38.3,36.7,75.0,237324,19084,1,✅
59,80000 × Truex10xTruex10 × 16x16,80000,true,10,16,100.0,80100.0,109.0,329.7,487.6,2400.0,188.3,1201869,1201869,1201869,0,281.9,80.2,362.1,120.4,47.9,168.3,269060,19084,1,✅
60,80000 × Truex10xTruex10 × 256x256,80000,true,10,256,99.7,79900.0,184.7,1834.0,5300.0,43000.0,2545.0,1201853,1198726,1198726,3127,317.6,76.8,394.4,255.9,81.8,337.7,227552,19080,1,✅
61,80000 × Truex100xTruex100 × 0x0,80000,true,100,0,100.0,80100.0,197.2,430.6,557.9,1700.0,179.4,1201880,1201880,1201880,0,176.3,22.6,198.9,31.3,4.6,36.0,262672,19084,1,✅
62,80000 × Truex100xTruex100 × 1x1,80000,true,100,1,100.0,80100.0,192.9,426.6,561.2,2200.0,178.1,1201880,1201880,1201880,0,175.5,24.5,200.1,31.7,4.5,36.2,234836,19088,1,✅
63,80000 × Truex100xTruex100 × 16x16,80000,true,100,16,100.0,80100.0,183.5,400.9,515.4,1600.0,180.4,1201877,1201877,1201877,0,204.4,34.1,238.6,44.3,9.6,53.9,248960,19080,1,✅
64,80000 × Truex100xTruex100 × 256x256,80000,true,100,256,100.0,80100.0,272.3,2114.0,4056.0,5600.0,2700.0,1201841,1201841,1201841,0,323.5,74.1,397.6,156.3,46.4,202.7,275800,19084,1,✅
65,152000 × Falsex0xFalsex0 × 0x0,152000,false,0,0,82.3,125300.0,3524.0,16379.0,21495.0,60800.0,13776.0,2282964,1879514,1879514,403450,303.0,92.7,395.7,284.8,84.2,369.0,227596,19084,1,✅
66,152000 × Falsex0xFalsex0 × 1x1,152000,false,0,1,81.9,124700.0,3441.0,13747.0,17218.0,25500.0,11478.0,2283088,1869961,1869961,413127,304.3,94.7,399.0,286.6,82.2,368.8,243052,19088,1,✅
67,152000 × Falsex0xFalsex0 × 16x16,152000,false,0,16,82.3,125200.0,3501.0,13671.0,21513.0,28800.0,13130.0,2283075,1877835,1877835,405240,305.0,94.0,399.0,286.6,82.5,369.1,239536,19080,1,✅
68,152000 × Falsex0xFalsex0 × 256x256,152000,false,0,256,82.0,124900.0,3414.0,13771.0,17558.0,25400.0,11465.0,2283175,1873338,1873338,409837,303.1,95.9,399.0,285.0,83.8,368.8,245032,19088,1,✅
