source_index,value,target_qps,idle_enabled,sleep_us,bud,reported_sustain_pct,achieved_qps,p50_us,p99_us,p999_us,max_us,send_lag_p99_us,scheduled,dispatched,completed,shed,client_cpu_user_pct,client_cpu_sys_pct,client_cpu_pct,server_cpu_user_pct,server_cpu_sys_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,total_cpu_pct,used_cores,quota_occupancy_pct,qps_per_used_core,target_sustained
1,1600 × Falsex0xFalsex0 × 0x0,1600,False,0,0,100,1600,80.7,224,297.9,5000,11809,23420,23420,23420,0,289.9,109.4,399.3,273.7,95.2,368.9,246340,19084,1,✅,768.2,7.682,64.0166666667,208.279093986,True
2,1600 × Falsex0xFalsex0 × 1x1,1600,False,0,1,100,1600,85.8,231.1,353.9,9000,11949,23415,23415,23415,0,291.1,108.5,399.5,272.4,96.6,369,254380,19084,1,✅,768.5,7.685,64.0416666667,208.197787899,True
3,1600 × Falsex0xFalsex0 × 16x16,1600,False,0,16,100,1600,81.2,229.8,297.6,8100,11761,23419,23419,23419,0,292.1,107.1,399.2,272.2,96.7,368.9,260852,19088,1,✅,768.1,7.681,64.0083333333,208.306210129,True
4,1600 × Falsex0xFalsex0 × 256x256,1600,False,0,256,100,1600,84.1,222,295.6,9100,11993,23416,23416,23416,0,289.5,109.2,398.8,271.8,97.1,368.9,262580,19088,1,✅,767.7,7.677,63.975,208.414745343,True
5,1600 × Truex1xTruex1 × 0x0,1600,True,1,0,100,1600,57.1,99.7,174.3,200,98.5,23416,23416,23416,0,15.9,264.8,280.7,58,128.6,186.6,255100,19084,1,✅,467.3,4.673,38.9416666667,342.392467366,True
6,1600 × Truex1xTruex1 × 1x1,1600,True,1,1,100,1600,56,99.5,163.5,200,98.6,23416,23416,23416,0,16.6,264.4,280.9,55.5,131.7,187.2,273144,19084,1,✅,468.1,4.681,39.0083333333,341.807306131,True
7,1600 × Truex1xTruex1 × 16x16,1600,True,1,16,100,1600,51.5,99.5,161.9,200,98.8,23416,23416,23416,0,193.1,170,363.1,187.6,113.8,301.3,241828,19072,1,✅,664.4,6.644,55.3666666667,240.818783865,True
8,1600 × Truex1xTruex1 × 256x256,1600,True,1,256,100,1600,41.3,196.6,288.9,400,422.9,23416,23416,23416,0,285.3,111.3,396.6,266.2,96.7,363,275972,19088,1,✅,759.6,7.596,63.3,210.637177462,True
9,1600 × Truex10xTruex10 × 0x0,1600,True,10,0,100,1600,63.1,122.5,192.8,400,99.6,23416,23416,23416,0,25.4,63.8,89.2,7.5,40,47.5,252680,19072,1,✅,136.7,1.367,11.3916666667,1170.44623263,True
10,1600 × Truex10xTruex10 × 1x1,1600,True,10,1,100,1600,62.5,113.1,193.1,400,99.4,23416,23416,23416,0,23.7,65.1,88.8,7.2,40.2,47.4,255972,19088,1,✅,136.2,1.362,11.35,1174.74302496,True
