target_qps,min_p99_budget_us,max_p99_budget_us,candidate_id,transport,policy,sleep_us,bud,repeat_count,p99_us,used_cores,total_cpu_pct,quota_occupancy_pct
1600,99.5,99.7,ubmem-1600-b1-s1,Ubmem,BUD=1,1,1,1,99.5,4.681,468.1,39.0083333333
1600,99.7,113.1,ubmem-1600-b0-s1,Ubmem,BUD=0,1,0,1,99.7,4.673,467.3,38.9416666667
1600,113.1,248.4,ubmem-1600-b1-s10,Ubmem,BUD=1,10,1,1,113.1,1.362,136.2,11.35
1600,248.4,,socket-1600,Socket,Socket,,,1,248.4,0.077,7.7,0.641666666667
16000,110.7,173.5,ubmem-16000-b16-s1,Ubmem,BUD=16,1,16,1,110.7,6.69,669,55.75
16000,173.5,189.8,ubmem-16000-b0-s10,Ubmem,BUD=0,10,0,1,173.5,1.867,186.7,15.5583333333
16000,189.8,199.8,ubmem-16000-b1-s10,Ubmem,BUD=1,10,1,1,189.8,1.823,182.3,15.1916666667
16000,199.8,,socket-16000,Socket,Socket,,,1,199.8,0.6,60,5
40000,203.2,210.1,ubmem-40000-b16-s1,Ubmem,BUD=16,1,16,1,203.2,6.728,672.8,56.0666666667
40000,210.1,225.9,ubmem-40000-b16-s10,Ubmem,BUD=16,10,16,1,210.1,5.047,504.7,42.0583333333
40000,225.9,226.8,ubmem-40000-b0-s10,Ubmem,BUD=0,10,0,1,225.9,2.456,245.6,20.4666666667
40000,226.8,278.9,ubmem-40000-b1-s10,Ubmem,BUD=1,10,1,1,226.8,2.438,243.8,20.3166666667
40000,278.9,301.4,socket-40000,Socket,Socket,,,1,278.9,1.387,138.7,11.5583333333
40000,301.4,305.2,ubmem-40000-b0-s100,Ubmem,BUD=0,100,0,1,301.4,1.354,135.4,11.2833333333
40000,305.2,,ubmem-40000-b1-s100,Ubmem,BUD=1,100,1,1,305.2,1.352,135.2,11.2666666667
80000,329.7,338.3,ubmem-80000-b16-s10,Ubmem,BUD=16,10,16,1,329.7,5.304,530.4,44.2
80000,338.3,400.9,ubmem-80000-b0-s10,Ubmem,BUD=0,10,0,1,338.3,3.303,330.3,27.525
80000,400.9,426.6,ubmem-80000-b16-s100,Ubmem,BUD=16,100,16,1,400.9,2.925,292.5,24.375
80000,426.6,430.6,ubmem-80000-b1-s100,Ubmem,BUD=1,100,1,1,426.6,2.363,236.3,19.6916666667
80000,430.6,,ubmem-80000-b0-s100,Ubmem,BUD=0,100,0,1,430.6,2.349,234.9,19.575
152000,1633,1848,ubmem-152000-b16-s100,Ubmem,BUD=16,100,16,1,1633,4.266,426.6,35.55
152000,1848,12123,ubmem-152000-b0-s100,Ubmem,BUD=0,100,0,1,1848,3.887,388.7,32.3916666667
152000,12123,,socket-152000,Socket,Socket,,,1,12123,3.871,387.1,32.2583333333
