candidate_id,transport,policy,target_qps,idle_enabled,sleep_us,bud,source_indices,repeat_count,repeat_gate_consistent,achieved_qps,achieved_qps_min,achieved_qps_max,reported_sustain_pct,reported_sustain_pct_min,reported_sustain_pct_max,p99_us,p99_us_min,p99_us_max,p999_us,total_cpu_pct,total_cpu_pct_min,total_cpu_pct_max,used_cores,used_cores_min,used_cores_max,target_sustained,is_pareto
ubmem-1600-b0-s1,Ubmem,BUD=0,1600,True,1,0,5,1,True,1600,1600,1600,100,100,100,99.7,99.7,99.7,174.3,467.3,467.3,467.3,4.673,4.673,4.673,True,True
ubmem-1600-b1-s1,Ubmem,BUD=1,1600,True,1,1,6,1,True,1600,1600,1600,100,100,100,99.5,99.5,99.5,163.5,468.1,468.1,468.1,4.681,4.681,4.681,True,True
ubmem-1600-b16-s1,Ubmem,BUD=16,1600,True,1,16,7,1,True,1600,1600,1600,100,100,100,99.5,99.5,99.5,161.9,664.4,664.4,664.4,6.644,6.644,6.644,True,False
ubmem-1600-b256-s1,Ubmem,BUD=256,1600,True,1,256,8,1,True,1600,1600,1600,100,100,100,196.6,196.6,196.6,288.9,759.6,759.6,759.6,7.596,7.596,7.596,True,False
ubmem-1600-b0-s10,Ubmem,BUD=0,1600,True,10,0,9,1,True,1600,1600,1600,100,100,100,122.5,122.5,122.5,192.8,136.7,136.7,136.7,1.367,1.367,1.367,True,False
ubmem-1600-b1-s10,Ubmem,BUD=1,1600,True,10,1,10,1,True,1600,1600,1600,100,100,100,113.1,113.1,113.1,193.1,136.2,136.2,136.2,1.362,1.362,1.362,True,True
ubmem-1600-b16-s10,Ubmem,BUD=16,1600,True,10,16,11,1,True,1600,1600,1600,100,100,100,111.1,111.1,111.1,190.1,471.9,471.9,471.9,4.719,4.719,4.719,True,False
ubmem-1600-b256-s10,Ubmem,BUD=256,1600,True,10,256,12,1,True,1600,1600,1600,100,100,100,205.2,205.2,205.2,298.4,730.4,730.4,730.4,7.304,7.304,7.304,True,False
ubmem-1600-b0-s100,Ubmem,BUD=0,1600,True,100,0,13,1,True,1600,1600,1600,100,100,100,285.8,285.8,285.8,298.7,20.8,20.8,20.8,0.208,0.208,0.208,True,False
ubmem-1600-b1-s100,Ubmem,BUD=1,1600,True,100,1,14,1,True,1600,1600,1600,100,100,100,288.1,288.1,288.1,298.8,20.7,20.7,20.7,0.207,0.207,0.207,True,False
ubmem-1600-b16-s100,Ubmem,BUD=16,1600,True,100,16,15,1,True,1600,1600,1600,100,100,100,277.1,277.1,277.1,297.9,80.7,80.7,80.7,0.807,0.807,0.807,True,False
ubmem-1600-b256-s100,Ubmem,BUD=256,1600,True,100,256,16,1,True,1600,1600,1600,100,100,100,302.1,302.1,302.1,397.7,580.3,580.3,580.3,5.803,5.803,5.803,True,False
socket-1600,Socket,Socket,1600,,,,1,1,True,1600,1600,1600,100,100,100,248.4,248.4,248.4,334.1,7.7,7.7,7.7,0.077,0.077,0.077,True,True
ubmem-16000-b0-s1,Ubmem,BUD=0,16000,True,1,0,21,1,True,16100,16100,16100,100,100,100,196.2,196.2,196.2,1210,482.8,482.8,482.8,4.828,4.828,4.828,True,False
ubmem-16000-b1-s1,Ubmem,BUD=1,16000,True,1,1,22,1,True,16100,16100,16100,100,100,100,184.8,184.8,184.8,877.3,482.4,482.4,482.4,4.824,4.824,4.824,True,False
ubmem-16000-b16-s1,Ubmem,BUD=16,16000,True,1,16,23,1,True,16100,16100,16100,100,100,100,110.7,110.7,110.7,190.2,669,669,669,6.69,6.69,6.69,True,True
ubmem-16000-b256-s1,Ubmem,BUD=256,16000,True,1,256,24,1,True,16100,16100,16100,100,100,100,292.2,292.2,292.2,496,759.6,759.6,759.6,7.596,7.596,7.596,True,False
ubmem-16000-b0-s10,Ubmem,BUD=0,16000,True,10,0,25,1,True,16100,16100,16100,100,100,100,173.5,173.5,173.5,197.8,186.7,186.7,186.7,1.867,1.867,1.867,True,True
ubmem-16000-b1-s10,Ubmem,BUD=1,16000,True,10,1,26,1,True,16100,16100,16100,100,100,100,189.8,189.8,189.8,203.8,182.3,182.3,182.3,1.823,1.823,1.823,True,True
ubmem-16000-b16-s10,Ubmem,BUD=16,16000,True,10,16,27,1,True,16100,16100,16100,100,100,100,180.5,180.5,180.5,199,485.5,485.5,485.5,4.855,4.855,4.855,True,False
ubmem-16000-b256-s10,Ubmem,BUD=256,16000,True,10,256,28,1,True,16100,16100,16100,100,100,100,261.2,261.2,261.2,403.4,731.7,731.7,731.7,7.317,7.317,7.317,True,False
ubmem-16000-b0-s100,Ubmem,BUD=0,16000,True,100,0,29,1,True,16100,16100,16100,100,100,100,292.3,292.3,292.3,301.1,66.4,66.4,66.4,0.664,0.664,0.664,True,False
ubmem-16000-b1-s100,Ubmem,BUD=1,16000,True,100,1,30,1,True,16100,16100,16100,100,100,100,296.6,296.6,296.6,376.6,67.3,67.3,67.3,0.673,0.673,0.673,True,False
ubmem-16000-b16-s100,Ubmem,BUD=16,16000,True,100,16,31,1,True,16100,16100,16100,100,100,100,288.7,288.7,288.7,313.2,129.6,129.6,129.6,1.296,1.296,1.296,True,False
ubmem-16000-b256-s100,Ubmem,BUD=256,16000,True,100,256,32,1,True,16100,16100,16100,100,100,100,411.5,411.5,411.5,576.9,587.6,587.6,587.6,5.876,5.876,5.876,True,False
socket-16000,Socket,Socket,16000,,,,2,1,True,16100,16100,16100,100,100,100,199.8,199.8,199.8,294.1,60,60,60,0.6,0.6,0.6,True,True
ubmem-40000-b0-s1,Ubmem,BUD=0,40000,True,1,0,37,1,True,40200,40200,40200,100,100,100,264,264,264,1095,506.8,506.8,506.8,5.068,5.068,5.068,True,False
ubmem-40000-b1-s1,Ubmem,BUD=1,40000,True,1,1,38,1,True,40200,40200,40200,100,100,100,248.5,248.5,248.5,1738,506.4,506.4,506.4,5.064,5.064,5.064,True,False
ubmem-40000-b16-s1,Ubmem,BUD=16,40000,True,1,16,39,1,True,40100,40100,40100,99.8,99.8,99.8,203.2,203.2,203.2,2574,672.8,672.8,672.8,6.728,6.728,6.728,True,True
ubmem-40000-b256-s1,Ubmem,BUD=256,40000,True,1,256,40,1,True,40200,40200,40200,100,100,100,530.5,530.5,530.5,1929,760.3,760.3,760.3,7.603,7.603,7.603,True,False
ubmem-40000-b0-s10,Ubmem,BUD=0,40000,True,10,0,41,1,True,40200,40200,40200,100,100,100,225.9,225.9,225.9,303.5,245.6,245.6,245.6,2.456,2.456,2.456,True,True
ubmem-40000-b1-s10,Ubmem,BUD=1,40000,True,10,1,42,1,True,40200,40200,40200,100,100,100,226.8,226.8,226.8,384.7,243.8,243.8,243.8,2.438,2.438,2.438,True,True
ubmem-40000-b16-s10,Ubmem,BUD=16,40000,True,10,16,43,1,True,40200,40200,40200,100,100,100,210.1,210.1,210.1,292.8,504.7,504.7,504.7,5.047,5.047,5.047,True,True
ubmem-40000-b256-s10,Ubmem,BUD=256,40000,True,10,256,44,1,True,40200,40200,40200,100,100,100,527.6,527.6,527.6,894.7,733.5,733.5,733.5,7.335,7.335,7.335,True,False
ubmem-40000-b0-s100,Ubmem,BUD=0,40000,True,100,0,45,1,True,40200,40200,40200,100,100,100,301.4,301.4,301.4,392.1,135.4,135.4,135.4,1.354,1.354,1.354,True,True
ubmem-40000-b1-s100,Ubmem,BUD=1,40000,True,100,1,46,1,True,40200,40200,40200,100,100,100,305.2,305.2,305.2,393.9,135.2,135.2,135.2,1.352,1.352,1.352,True,True
ubmem-40000-b16-s100,Ubmem,BUD=16,40000,True,100,16,47,1,True,40100,40100,40100,99.8,99.8,99.8,311.1,311.1,311.1,398.5,194.7,194.7,194.7,1.947,1.947,1.947,True,False
ubmem-40000-b256-s100,Ubmem,BUD=256,40000,True,100,256,48,1,True,40200,40200,40200,100,100,100,683.6,683.6,683.6,1103,593.3,593.3,593.3,5.933,5.933,5.933,True,False
socket-40000,Socket,Socket,40000,,,,3,1,True,40200,40200,40200,100,100,100,278.9,278.9,278.9,380.7,138.7,138.7,138.7,1.387,1.387,1.387,True,True
ubmem-80000-b0-s1,Ubmem,BUD=0,80000,True,1,0,53,1,True,80100,80100,80100,100,100,100,1352,1352,1352,7446,540.1,540.1,540.1,5.401,5.401,5.401,True,False
ubmem-80000-b1-s1,Ubmem,BUD=1,80000,True,1,1,54,1,True,80100,80100,80100,100,100,100,1244,1244,1244,5980,539.8,539.8,539.8,5.398,5.398,5.398,True,False
ubmem-80000-b16-s1,Ubmem,BUD=16,80000,True,1,16,55,1,True,80100,80100,80100,100,100,100,392.8,392.8,392.8,1837,685.5,685.5,685.5,6.855,6.855,6.855,True,False
ubmem-80000-b256-s1,Ubmem,BUD=256,80000,True,1,256,56,1,True,80100,80100,80100,100,100,100,1473,1473,1473,4271,761.2,761.2,761.2,7.612,7.612,7.612,True,False
ubmem-80000-b0-s10,Ubmem,BUD=0,80000,True,10,0,57,1,True,80100,80100,80100,100,100,100,338.3,338.3,338.3,496.5,330.3,330.3,330.3,3.303,3.303,3.303,True,True
ubmem-80000-b1-s10,Ubmem,BUD=1,80000,True,10,1,58,1,True,80100,80100,80100,100,100,100,361.6,361.6,361.6,584.6,330.6,330.6,330.6,3.306,3.306,3.306,True,False
ubmem-80000-b16-s10,Ubmem,BUD=16,80000,True,10,16,59,1,True,80100,80100,80100,100,100,100,329.7,329.7,329.7,487.6,530.4,530.4,530.4,5.304,5.304,5.304,True,True
ubmem-80000-b256-s10,Ubmem,BUD=256,80000,True,10,256,60,1,True,79900,79900,79900,99.7,99.7,99.7,1834,1834,1834,5300,732.1,732.1,732.1,7.321,7.321,7.321,True,False
ubmem-80000-b0-s100,Ubmem,BUD=0,80000,True,100,0,61,1,True,80100,80100,80100,100,100,100,430.6,430.6,430.6,557.9,234.9,234.9,234.9,2.349,2.349,2.349,True,True
