source_index,value,target_qps,bud,sleep_us,concurrency,body_bytes,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,partial
1,7700 × 0x0 × 1x1x1x1,7700,0,1,128,1024,0,7700,1200.0,1780.0,156.2,172.5,83968,65536,1,OK,false
2,7700 × 0x0 × 10x10x10x10,7700,0,10,128,1024,0,7700,1380.0,1790.0,135.8,164.8,79872,59392,1,OK,false
3,7700 × 0x0 × 100x100x100x100,7700,0,100,128,1024,0,7700,1310.0,1970.0,127.6,151.0,75776,65536,1,OK,false
4,7700 × 0x0 × 1000x1000x1000x1000,7700,0,1000,128,1024,0,7700,3240.0,3270.0,103.9,125.4,89088,65536,1,OK,false
5,7700 × 0x0 × 10000x10000x10000x10000,7700,0,10000,128,1024,0,7700,19320.0,20430.0,26.3,32.6,81920,61440,1,OK,false
6,7700 × 1x1 × 1x1x1x1,7700,1,1,128,1024,0,7700,1460.0,2070.0,41.3,56.4,89088,62464,1,OK,false
7,7700 × 1x1 × 10x10x10x10,7700,1,10,128,1024,0,7700,1160.0,1210.0,12.7,10.7,75776,57344,1,OK,false
8,7700 × 1x1 × 100x100x100x100,7700,1,100,128,1024,0,7700,1150.0,2160.0,11.7,10.0,76800,61440,1,OK,false
9,7700 × 1x1 × 1000x1000x1000x1000,7700,1,1000,128,1024,0,7700,1150.0,2170.0,11.9,10.0,81920,59392,1,OK,false
10,7700 × 1x1 × 10000x10000x10000x10000,7700,1,10000,128,1024,0,7700,19260.0,20230.0,11.2,0.0,87040,63488,1,OK,false
11,7700 × 16x16 × 1x1x1x1,7700,16,1,128,1024,0,7700,1750.0,2240.0,41.6,57.6,81920,63488,1,OK,false
12,7700 × 16x16 × 10x10x10x10,7700,16,10,128,1024,0,7700,1150.0,1180.0,16.9,14.1,82944,61440,1,OK,false
13,7700 × 16x16 × 100x100x100x100,7700,16,100,128,1024,0,7700,1150.0,2160.0,16.0,13.1,83968,62464,1,OK,false
14,7700 × 16x16 × 1000x1000x1000x1000,7700,16,1000,128,1024,0,7700,1150.0,2170.0,15.7,13.0,76800,59392,1,OK,false
15,7700 × 16x16 × 10000x10000x10000x10000,7700,16,10000,128,1024,0,7700,19240.0,20220.0,11.3,0.0,94208,64512,1,OK,false
16,7700 × 256x256 × 1x1x1x1,7700,256,1,128,1024,0,7700,1210.0,1790.0,149.4,163.4,78848,66560,1,OK,false
17,7700 × 256x256 × 10x10x10x10,7700,256,10,128,1024,0,7700,1480.0,1810.0,86.6,93.7,86016,60416,1,OK,false
18,7700 × 256x256 × 100x100x100x100,7700,256,100,128,1024,0,7700,1320.0,2020.0,131.9,157.7,77824,61440,1,OK,false
19,7700 × 256x256 × 1000x1000x1000x1000,7700,256,1000,128,1024,0,7700,3240.0,3270.0,102.8,126.7,82944,60416,1,OK,false
20,7700 × 256x256 × 10000x10000x10000x10000,7700,256,10000,128,1024,0,7700,19450.0,20540.0,25.0,30.0,78848,64512,1,OK,false
21,7700 × 1024x1024 × 1x1x1x1,7700,1024,1,128,1024,0,7700,20.0,60.0,204.3,195.0,84992,62464,1,OK,false
22,7700 × 1024x1024 × 10x10x10x10,7700,1024,10,128,1024,0,7700,20.0,30.0,177.0,176.6,79872,61440,1,OK,false
23,7700 × 1024x1024 × 100x100x100x100,7700,1024,100,128,1024,0,7700,20.0,40.0,164.0,161.7,78848,64512,1,OK,false
24,7700 × 1024x1024 × 1000x1000x1000x1000,7700,1024,1000,128,1024,0,7700,20.0,60.0,161.1,159.3,89088,62464,1,OK,false
25,7700 × 1024x1024 × 10000x10000x10000x10000,7700,1024,10000,128,1024,0,7700,20.0,8880.0,160.5,158.9,91136,65536,1,OK,false
26,77000 × 0x0 × 1x1x1x1,77000,0,1,128,1024,0,77000,40.0,110.0,338.4,312.5,100352,69632,1,OK,false
27,77000 × 0x0 × 10x10x10x10,77000,0,10,128,1024,0,77000,40.0,350.0,302.6,287.9,98304,64512,1,OK,false
28,77000 × 0x0 × 100x100x100x100,77000,0,100,128,1024,0,77000,130.0,1280.0,285.8,272.6,99328,69632,1,OK,false
29,77000 × 0x0 × 1000x1000x1000x1000,77000,0,1000,128,1024,0,76900,2110.0,2460.0,204.7,182.2,97280,70656,1,OK,false
30,77000 × 0x0 × 10000x10000x10000x10000,77000,0,10000,128,1024,0,16400,20590.0,20750.0,37.2,32.6,95232,62464,1,OK,false
31,77000 × 1x1 × 1x1x1x1,77000,1,1,128,1024,0,77000,1390.0,2050.0,106.7,106.5,100352,69632,1,OK,false
32,77000 × 1x1 × 10x10x10x10,77000,1,10,128,1024,0,77000,1360.0,2180.0,91.1,71.3,99328,65536,1,OK,false
