source_index,value,target_qps,bud,sleep_us,concurrency,body_bytes,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,used_cores,qps_per_used_core,attainment_pct,target_sustained,is_pareto,client_rss_kb,server_rss_kb,retry,status,partial
1,7700 × 0x0 × 1x1x1x1,7700,0,1,128,1024,0,7700.0,1200.0,1780.0,156.2,172.5,328.7,3.287,2342.5616063279585,100.0,True,False,83968,65536,1,OK,False
2,7700 × 0x0 × 10x10x10x10,7700,0,10,128,1024,0,7700.0,1380.0,1790.0,135.8,164.8,300.6,3.0060000000000002,2561.543579507651,100.0,True,False,79872,59392,1,OK,False
3,7700 × 0x0 × 100x100x100x100,7700,0,100,128,1024,0,7700.0,1310.0,1970.0,127.6,151.0,278.6,2.786,2763.819095477387,100.0,True,False,75776,65536,1,OK,False
4,7700 × 0x0 × 1000x1000x1000x1000,7700,0,1000,128,1024,0,7700.0,3240.0,3270.0,103.9,125.4,229.3,2.293,3358.046227649367,100.0,True,False,89088,65536,1,OK,False
5,7700 × 0x0 × 10000x10000x10000x10000,7700,0,10000,128,1024,0,7700.0,19320.0,20430.0,26.3,32.6,58.900000000000006,0.5890000000000001,13073.005093378606,100.0,True,False,81920,61440,1,OK,False
6,7700 × 1x1 × 1x1x1x1,7700,1,1,128,1024,0,7700.0,1460.0,2070.0,41.3,56.4,97.69999999999999,0.9769999999999999,7881.2691914022525,100.0,True,False,89088,62464,1,OK,False
7,7700 × 1x1 × 10x10x10x10,7700,1,10,128,1024,0,7700.0,1160.0,1210.0,12.7,10.7,23.4,0.23399999999999999,32905.982905982906,100.0,True,False,75776,57344,1,OK,False
8,7700 × 1x1 × 100x100x100x100,7700,1,100,128,1024,0,7700.0,1150.0,2160.0,11.7,10.0,21.7,0.217,35483.87096774194,100.0,True,True,76800,61440,1,OK,False
9,7700 × 1x1 × 1000x1000x1000x1000,7700,1,1000,128,1024,0,7700.0,1150.0,2170.0,11.9,10.0,21.9,0.21899999999999997,35159.817351598176,100.0,True,False,81920,59392,1,OK,False
10,7700 × 1x1 × 10000x10000x10000x10000,7700,1,10000,128,1024,0,7700.0,19260.0,20230.0,11.2,0.0,11.2,0.11199999999999999,68750.0,100.0,True,True,87040,63488,1,OK,False
11,7700 × 16x16 × 1x1x1x1,7700,16,1,128,1024,0,7700.0,1750.0,2240.0,41.6,57.6,99.2,0.992,7762.096774193548,100.0,True,False,81920,63488,1,OK,False
12,7700 × 16x16 × 10x10x10x10,7700,16,10,128,1024,0,7700.0,1150.0,1180.0,16.9,14.1,31.0,0.31,24838.709677419356,100.0,True,False,82944,61440,1,OK,False
13,7700 × 16x16 × 100x100x100x100,7700,16,100,128,1024,0,7700.0,1150.0,2160.0,16.0,13.1,29.1,0.29100000000000004,26460.481099656354,100.0,True,False,83968,62464,1,OK,False
14,7700 × 16x16 × 1000x1000x1000x1000,7700,16,1000,128,1024,0,7700.0,1150.0,2170.0,15.7,13.0,28.7,0.287,26829.26829268293,100.0,True,False,76800,59392,1,OK,False
15,7700 × 16x16 × 10000x10000x10000x10000,7700,16,10000,128,1024,0,7700.0,19240.0,20220.0,11.3,0.0,11.3,0.113,68141.59292035399,100.0,True,True,94208,64512,1,OK,False
16,7700 × 256x256 × 1x1x1x1,7700,256,1,128,1024,0,7700.0,1210.0,1790.0,149.4,163.4,312.8,3.128,2461.6368286445013,100.0,True,False,78848,66560,1,OK,False
17,7700 × 256x256 × 10x10x10x10,7700,256,10,128,1024,0,7700.0,1480.0,1810.0,86.6,93.7,180.3,1.8030000000000002,4270.660011092623,100.0,True,False,86016,60416,1,OK,False
18,7700 × 256x256 × 100x100x100x100,7700,256,100,128,1024,0,7700.0,1320.0,2020.0,131.9,157.7,289.6,2.8960000000000004,2658.8397790055246,100.0,True,False,77824,61440,1,OK,False
19,7700 × 256x256 × 1000x1000x1000x1000,7700,256,1000,128,1024,0,7700.0,3240.0,3270.0,102.8,126.7,229.5,2.295,3355.119825708061,100.0,True,False,82944,60416,1,OK,False
20,7700 × 256x256 × 10000x10000x10000x10000,7700,256,10000,128,1024,0,7700.0,19450.0,20540.0,25.0,30.0,55.0,0.55,13999.999999999998,100.0,True,False,78848,64512,1,OK,False
21,7700 × 1024x1024 × 1x1x1x1,7700,1024,1,128,1024,0,7700.0,20.0,60.0,204.3,195.0,399.3,3.9930000000000003,1928.3746556473827,100.0,True,False,84992,62464,1,OK,False
22,7700 × 1024x1024 × 10x10x10x10,7700,1024,10,128,1024,0,7700.0,20.0,30.0,177.0,176.6,353.6,3.536,2177.601809954751,100.0,True,False,79872,61440,1,OK,False
23,7700 × 1024x1024 × 100x100x100x100,7700,1024,100,128,1024,0,7700.0,20.0,40.0,164.0,161.7,325.7,3.2569999999999997,2364.13877801658,100.0,True,False,78848,64512,1,OK,False
24,7700 × 1024x1024 × 1000x1000x1000x1000,7700,1024,1000,128,1024,0,7700.0,20.0,60.0,161.1,159.3,320.4,3.2039999999999997,2403.2459425717857,100.0,True,False,89088,62464,1,OK,False
25,7700 × 1024x1024 × 10000x10000x10000x10000,7700,1024,10000,128,1024,0,7700.0,20.0,8880.0,160.5,158.9,319.4,3.194,2410.7701941139635,100.0,True,True,91136,65536,1,OK,False
26,77000 × 0x0 × 1x1x1x1,77000,0,1,128,1024,0,77000.0,40.0,110.0,338.4,312.5,650.9,6.5089999999999995,11829.774158856968,100.0,True,False,100352,69632,1,OK,False
27,77000 × 0x0 × 10x10x10x10,77000,0,10,128,1024,0,77000.0,40.0,350.0,302.6,287.9,590.5,5.905,13039.796782387806,100.0,True,False,98304,64512,1,OK,False
28,77000 × 0x0 × 100x100x100x100,77000,0,100,128,1024,0,77000.0,130.0,1280.0,285.8,272.6,558.4000000000001,5.5840000000000005,13789.39828080229,100.0,True,False,99328,69632,1,OK,False
29,77000 × 0x0 × 1000x1000x1000x1000,77000,0,1000,128,1024,0,76900.0,2110.0,2460.0,204.7,182.2,386.9,3.8689999999999998,19875.936934608428,99.87012987012987,True,False,97280,70656,1,OK,False
30,77000 × 0x0 × 10000x10000x10000x10000,77000,0,10000,128,1024,0,16400.0,20590.0,20750.0,37.2,32.6,69.80000000000001,0.6980000000000001,23495.702005730658,21.2987012987013,False,False,95232,62464,1,OK,False
31,77000 × 1x1 × 1x1x1x1,77000,1,1,128,1024,0,77000.0,1390.0,2050.0,106.7,106.5,213.2,2.1319999999999997,36116.32270168856,100.0,True,False,100352,69632,1,OK,False
32,77000 × 1x1 × 10x10x10x10,77000,1,10,128,1024,0,77000.0,1360.0,2180.0,91.1,71.3,162.39999999999998,1.6239999999999997,47413.79310344828,100.0,True,False,99328,65536,1,OK,False
33,77000 × 1x1 × 100x100x100x100,77000,1,100,128,1024,0,77000.0,2290.0,2380.0,88.6,68.5,157.1,1.571,49013.367281986,100.0,True,True,96256,63488,1,OK,False
34,77000 × 1x1 × 1000x1000x1000x1000,77000,1,1000,128,1024,0,77000.0,2330.0,2410.0,88.6,68.7,157.3,1.5730000000000002,48951.04895104894,100.0,True,False,97280,65536,1,OK,False
35,77000 × 1x1 × 10000x10000x10000x10000,77000,1,10000,128,1024,0,12400.0,10470.0,20500.0,14.5,12.3,26.8,0.268,46268.65671641791,16.103896103896105,False,False,88064,64512,1,OK,False
36,77000 × 16x16 × 1x1x1x1,77000,16,1,128,1024,0,77000.0,1390.0,2050.0,108.8,115.3,224.1,2.241,34359.660865684964,100.0,True,False,99328,60416,1,OK,False
37,77000 × 16x16 × 10x10x10x10,77000,16,10,128,1024,0,77000.0,1350.0,1890.0,91.1,75.0,166.1,1.661,46357.615894039736,100.0,True,False,99328,67584,1,OK,False
38,77000 × 16x16 × 100x100x100x100,77000,16,100,128,1024,0,77000.0,1320.0,2210.0,87.7,72.2,159.9,1.599,48155.09693558474,100.0,True,False,101376,72704,1,OK,False
39,77000 × 16x16 × 1000x1000x1000x1000,77000,16,1000,128,1024,0,77000.0,1320.0,2340.0,87.6,72.2,159.8,1.598,48185.231539424276,100.0,True,True,104448,71680,1,OK,False
40,77000 × 16x16 × 10000x10000x10000x10000,77000,16,10000,128,1024,0,12500.0,10480.0,20300.0,15.0,12.6,27.6,0.276,45289.85507246376,16.233766233766232,False,False,91136,63488,1,OK,False
41,77000 × 256x256 × 1x1x1x1,77000,256,1,128,1024,0,77000.0,40.0,130.0,319.1,293.8,612.9000000000001,6.129000000000001,12563.224016968508,100.0,True,False,101376,63488,1,OK,False
42,77000 × 256x256 × 10x10x10x10,77000,256,10,128,1024,0,77000.0,40.0,1270.0,293.0,278.8,571.8,5.718,13466.246939489332,100.0,True,True,102400,67584,1,OK,False
43,77000 × 256x256 × 100x100x100x100,77000,256,100,128,1024,0,77000.0,110.0,260.0,282.9,269.0,551.9,5.519,13951.80286283747,100.0,True,True,92160,70656,1,OK,False
44,77000 × 256x256 × 1000x1000x1000x1000,77000,256,1000,128,1024,0,76900.0,2130.0,2470.0,206.7,184.6,391.29999999999995,3.9129999999999994,19652.440582673145,99.87012987012987,True,False,96256,70656,1,OK,False
45,77000 × 256x256 × 10000x10000x10000x10000,77000,256,10000,128,1024,0,13500.0,11400.0,20670.0,33.0,32.7,65.7,0.657,20547.945205479453,17.532467532467532,False,False,90112,63488,1,OK,False
46,77000 × 1024x1024 × 1x1x1x1,77000,1024,1,128,1024,0,77000.0,30.0,90.0,390.6,366.9,757.5,7.575,10165.016501650165,100.0,True,False,100352,66560,1,OK,False
47,77000 × 1024x1024 × 10x10x10x10,77000,1024,10,128,1024,0,77000.0,30.0,90.0,450.3,430.6,880.9000000000001,8.809000000000001,8741.060279259847,100.0,True,False,98304,67584,1,OK,False
48,77000 × 1024x1024 × 100x100x100x100,77000,1024,100,128,1024,0,77000.0,30.0,170.0,411.5,396.4,807.9,8.079,9530.882534967199,100.0,True,False,100352,63488,1,OK,False
49,77000 × 1024x1024 × 1000x1000x1000x1000,77000,1024,1000,128,1024,0,77000.0,30.0,1780.0,351.3,341.8,693.1,6.931,11109.508007502525,100.0,True,True,98304,60416,1,OK,False
50,77000 × 1024x1024 × 10000x10000x10000x10000,77000,1024,10000,128,1024,0,53700.0,11290.0,12040.0,156.3,140.0,296.3,2.963,18123.5234559568,69.74025974025975,False,False,98304,68608,1,OK,False
51,192500 × 0x0 × 1x1x1x1,192500,0,1,128,1024,0,192500.0,60.0,440.0,443.6,387.1,830.7,8.307,23173.22739857951,100.0,True,False,111616,65536,1,OK,False
52,192500 × 0x0 × 10x10x10x10,192500,0,10,128,1024,0,192500.0,60.0,500.0,429.8,379.1,808.9000000000001,8.089,23797.75003090617,100.0,True,True,108544,67584,1,OK,False
53,192500 × 0x0 × 100x100x100x100,192500,0,100,128,1024,0,192400.0,120.0,690.0,425.0,378.9,803.9,8.039,23933.325040427913,99.94805194805195,True,False,110592,64512,1,OK,False
54,192500 × 0x0 × 1000x1000x1000x1000,192500,0,1000,128,1024,0,183700.0,1520.0,2240.0,310.2,269.3,579.5,5.795,31699.74115616911,95.42857142857143,False,False,109568,70656,1,OK,False
55,192500 × 0x0 × 10000x10000x10000x10000,192500,0,10000,128,1024,0,24600.0,11270.0,20410.0,45.6,41.4,87.0,0.87,28275.862068965518,12.779220779220779,False,False,91136,65536,1,OK,False
