target_qps,min_p99_budget_us,max_p99_budget_us,candidate_id,transport,policy,sleep_us,repeat_count,used_cores,attainment_pct,total_cpu_pct,quota_occupancy_pct
7700,20.0,120.0,gqm:7700:B1024:10000,GQM,B1024,10000,1,3.194,100.0,319.4,19.962
7700,120.0,1150.0,socket:7700,Socket,Socket,,1,0.239,100.0,23.9,1.494
7700,1150.0,19240.0,gqm:7700:B1:100,GQM,B1,100,1,0.217,100.0,21.7,1.356
7700,19240.0,19260.0,gqm:7700:B16:10000,GQM,B16,10000,1,0.113,100.0,11.3,0.706
7700,19260.0,,gqm:7700:B1:10000,GQM,B1,10000,1,0.112,100.0,11.2,0.7
77000,30.0,40.0,gqm:77000:B1024:1000,GQM,B1024,1000,1,6.931,100.0,693.1,43.319
77000,40.0,120.0,gqm:77000:B0/256 duplicate:10,GQM,B0/256 duplicate,10,2,5.8115,100.0,581.15,36.322
77000,120.0,250.0,gqm:77000:B0/256 duplicate:100,GQM,B0/256 duplicate,100,2,5.5515,100.0,555.15,34.697
77000,250.0,1320.0,socket:77000,Socket,Socket,,1,2.117,100.0,211.7,13.231
77000,1320.0,2290.0,gqm:77000:B16:1000,GQM,B16,1000,1,1.598,100.0,159.8,9.988
77000,2290.0,10470.0,gqm:77000:B1:100,GQM,B1,100,1,1.571,100.0,157.1,9.819
77000,10470.0,,gqm:77000:B1:10000,GQM,B1,10000,1,0.268,16.104,26.8,1.675
192500,50.0,65.0,gqm:192500:B1024:10,GQM,B1024,10,1,8.5,100.0,850.0,53.125
192500,65.0,80.0,gqm:192500:B0/256 duplicate:10,GQM,B0/256 duplicate,10,2,8.027,100.0,802.7,50.169
192500,80.0,340.0,gqm:192500:B1024:1000,GQM,B1024,1000,1,7.183,100.0,718.3,44.894
192500,340.0,1370.0,socket:192500,Socket,Socket,,1,5.136,100.0,513.6,32.1
192500,1370.0,1430.0,gqm:192500:B16:10,GQM,B16,10,1,2.191,56.623,219.1,13.694
192500,1430.0,2290.0,gqm:192500:B16:1000,GQM,B16,1000,1,2.054,54.805,205.4,12.838
192500,2290.0,2330.0,gqm:192500:B1:100,GQM,B1,100,1,2.007,53.247,200.7,12.544
192500,2330.0,10470.0,gqm:192500:B1:1000,GQM,B1,1000,1,1.913,52.519,191.3,11.956
192500,10470.0,,gqm:192500:B1:10000,GQM,B1,10000,1,0.268,6.442,26.8,1.675
385000,330.0,335.0,gqm:385000:B1024:1,GQM,B1024,1,1,11.712,99.818,1171.2,73.2
385000,335.0,610.0,gqm:385000:B0/256 duplicate:10,GQM,B0/256 duplicate,10,2,11.4745,99.74,1147.45,71.716
385000,610.0,1320.0,socket:385000,Socket,Socket,,1,9.724,98.935,972.4,60.775
385000,1320.0,1390.0,gqm:385000:B16:1,GQM,B16,1,1,8.269,84.935,826.9,51.681
385000,1390.0,1570.0,gqm:385000:B16:10,GQM,B16,10,1,2.404,30.935,240.4,15.025
385000,1570.0,1660.0,gqm:385000:B1:10,GQM,B1,10,1,2.369,30.571,236.9,14.806
385000,1660.0,2290.0,gqm:385000:B16:1000,GQM,B16,1000,1,2.084,27.662,208.4,13.025
385000,2290.0,2340.0,gqm:385000:B1:100,GQM,B1,100,1,1.958,26.753,195.8,12.238
385000,2340.0,10460.0,gqm:385000:B1:1000,GQM,B1,1000,1,1.933,26.338,193.3,12.081
385000,10460.0,10730.0,gqm:385000:B16:10000,GQM,B16,10000,1,0.277,3.247,27.7,1.731
385000,10730.0,,gqm:385000:B1:10000,GQM,B1,10000,1,0.266,3.195,26.6,1.663
731500,415.0,420.0,gqm:731500:B0/256 duplicate:100,GQM,B0/256 duplicate,100,2,14.7975,96.623,1479.75,92.484
731500,420.0,620.0,gqm:731500:B0/256 duplicate:1,GQM,B0/256 duplicate,1,2,14.4865,96.459,1448.65,90.541
731500,620.0,1330.0,socket:731500,Socket,Socket,,1,9.563,52.167,956.3,59.769
731500,1330.0,1380.0,gqm:731500:B1:10,GQM,B1,10,1,9.486,66.439,948.6,59.288
731500,1380.0,2120.0,gqm:731500:B16:100,GQM,B16,100,1,2.971,20.752,297.1,18.569
731500,2120.0,2290.0,gqm:731500:B16:1000,GQM,B16,1000,1,2.338,16.446,233.8,14.613
731500,2290.0,2340.0,gqm:731500:B1:100,GQM,B1,100,1,1.974,14.094,197.4,12.337
731500,2340.0,10460.0,gqm:731500:B1:1000,GQM,B1,1000,1,1.929,13.807,192.9,12.056
731500,10460.0,,gqm:731500:B1:10000,GQM,B1,10000,1,0.269,1.695,26.9,1.681
