candidate_id,transport,policy,target_qps,sleep_us,source_indices,repeat_count,repeat_gate_consistent,tps,tps_min,tps_max,tp99_us,tp99_us_min,tp99_us_max,tp999_us,total_cpu_pct,total_cpu_pct_min,total_cpu_pct_max,used_cores,used_cores_min,used_cores_max,attainment_pct,attainment_pct_min,attainment_pct_max,target_sustained,is_pareto,partial
gqm:7700:B0/256 duplicate:1,GQM,B0/256 duplicate,7700,1,1;16,2,True,7700.0,7700.0,7700.0,1205.0,1200.0,1210.0,1785.0,320.75,312.8,328.7,3.2075,3.128,3.287,100.0,100.0,100.0,True,False,False
gqm:7700:B0/256 duplicate:10,GQM,B0/256 duplicate,7700,10,2;17,2,True,7700.0,7700.0,7700.0,1430.0,1380.0,1480.0,1800.0,240.45000000000002,180.3,300.6,2.4045,1.8030000000000002,3.0060000000000002,100.0,100.0,100.0,True,False,False
gqm:7700:B0/256 duplicate:100,GQM,B0/256 duplicate,7700,100,3;18,2,True,7700.0,7700.0,7700.0,1315.0,1310.0,1320.0,1995.0,284.1,278.6,289.6,2.841,2.786,2.8960000000000004,100.0,100.0,100.0,True,False,False
gqm:7700:B0/256 duplicate:1000,GQM,B0/256 duplicate,7700,1000,4;19,2,True,7700.0,7700.0,7700.0,3240.0,3240.0,3240.0,3270.0,229.4,229.3,229.5,2.294,2.293,2.295,100.0,100.0,100.0,True,False,False
gqm:7700:B0/256 duplicate:10000,GQM,B0/256 duplicate,7700,10000,5;20,2,True,7700.0,7700.0,7700.0,19385.0,19320.0,19450.0,20485.0,56.95,55.0,58.900000000000006,0.5695000000000001,0.55,0.5890000000000001,100.0,100.0,100.0,True,False,False
gqm:7700:B1:1,GQM,B1,7700,1,6,1,True,7700.0,7700.0,7700.0,1460.0,1460.0,1460.0,2070.0,97.69999999999999,97.69999999999999,97.69999999999999,0.9769999999999999,0.9769999999999999,0.9769999999999999,100.0,100.0,100.0,True,False,False
gqm:7700:B1:10,GQM,B1,7700,10,7,1,True,7700.0,7700.0,7700.0,1160.0,1160.0,1160.0,1210.0,23.4,23.4,23.4,0.23399999999999999,0.23399999999999999,0.23399999999999999,100.0,100.0,100.0,True,False,False
gqm:7700:B1:100,GQM,B1,7700,100,8,1,True,7700.0,7700.0,7700.0,1150.0,1150.0,1150.0,2160.0,21.7,21.7,21.7,0.217,0.217,0.217,100.0,100.0,100.0,True,True,False
gqm:7700:B1:1000,GQM,B1,7700,1000,9,1,True,7700.0,7700.0,7700.0,1150.0,1150.0,1150.0,2170.0,21.9,21.9,21.9,0.21899999999999997,0.21899999999999997,0.21899999999999997,100.0,100.0,100.0,True,False,False
gqm:7700:B1:10000,GQM,B1,7700,10000,10,1,True,7700.0,7700.0,7700.0,19260.0,19260.0,19260.0,20230.0,11.2,11.2,11.2,0.11199999999999999,0.11199999999999999,0.11199999999999999,100.0,100.0,100.0,True,True,False
gqm:7700:B16:1,GQM,B16,7700,1,11,1,True,7700.0,7700.0,7700.0,1750.0,1750.0,1750.0,2240.0,99.2,99.2,99.2,0.992,0.992,0.992,100.0,100.0,100.0,True,False,False
gqm:7700:B16:10,GQM,B16,7700,10,12,1,True,7700.0,7700.0,7700.0,1150.0,1150.0,1150.0,1180.0,31.0,31.0,31.0,0.31,0.31,0.31,100.0,100.0,100.0,True,False,False
gqm:7700:B16:100,GQM,B16,7700,100,13,1,True,7700.0,7700.0,7700.0,1150.0,1150.0,1150.0,2160.0,29.1,29.1,29.1,0.29100000000000004,0.29100000000000004,0.29100000000000004,100.0,100.0,100.0,True,False,False
gqm:7700:B16:1000,GQM,B16,7700,1000,14,1,True,7700.0,7700.0,7700.0,1150.0,1150.0,1150.0,2170.0,28.7,28.7,28.7,0.287,0.287,0.287,100.0,100.0,100.0,True,False,False
gqm:7700:B16:10000,GQM,B16,7700,10000,15,1,True,7700.0,7700.0,7700.0,19240.0,19240.0,19240.0,20220.0,11.3,11.3,11.3,0.113,0.113,0.113,100.0,100.0,100.0,True,True,False
gqm:7700:B1024:1,GQM,B1024,7700,1,21,1,True,7700.0,7700.0,7700.0,20.0,20.0,20.0,60.0,399.3,399.3,399.3,3.9930000000000003,3.9930000000000003,3.9930000000000003,100.0,100.0,100.0,True,False,False
gqm:7700:B1024:10,GQM,B1024,7700,10,22,1,True,7700.0,7700.0,7700.0,20.0,20.0,20.0,30.0,353.6,353.6,353.6,3.536,3.536,3.536,100.0,100.0,100.0,True,False,False
gqm:7700:B1024:100,GQM,B1024,7700,100,23,1,True,7700.0,7700.0,7700.0,20.0,20.0,20.0,40.0,325.7,325.7,325.7,3.2569999999999997,3.2569999999999997,3.2569999999999997,100.0,100.0,100.0,True,False,False
gqm:7700:B1024:1000,GQM,B1024,7700,1000,24,1,True,7700.0,7700.0,7700.0,20.0,20.0,20.0,60.0,320.4,320.4,320.4,3.2039999999999997,3.2039999999999997,3.2039999999999997,100.0,100.0,100.0,True,False,False
gqm:7700:B1024:10000,GQM,B1024,7700,10000,25,1,True,7700.0,7700.0,7700.0,20.0,20.0,20.0,8880.0,319.4,319.4,319.4,3.194,3.194,3.194,100.0,100.0,100.0,True,True,False
socket:7700,Socket,Socket,7700,,1,1,True,7700.0,7700.0,7700.0,120.0,120.0,120.0,570.0,23.9,23.9,23.9,0.239,0.239,0.239,100.0,100.0,100.0,True,True,False
gqm:77000:B0/256 duplicate:1,GQM,B0/256 duplicate,77000,1,26;41,2,True,77000.0,77000.0,77000.0,40.0,40.0,40.0,120.0,631.9000000000001,612.9000000000001,650.9,6.319000000000001,6.129000000000001,6.5089999999999995,100.0,100.0,100.0,True,False,False
gqm:77000:B0/256 duplicate:10,GQM,B0/256 duplicate,77000,10,27;42,2,True,77000.0,77000.0,77000.0,40.0,40.0,40.0,810.0,581.15,571.8,590.5,5.8115000000000006,5.718,5.905,100.0,100.0,100.0,True,True,False
gqm:77000:B0/256 duplicate:100,GQM,B0/256 duplicate,77000,100,28;43,2,True,77000.0,77000.0,77000.0,120.0,110.0,130.0,770.0,555.1500000000001,551.9,558.4000000000001,5.551500000000001,5.519,5.5840000000000005,100.0,100.0,100.0,True,True,False
gqm:77000:B0/256 duplicate:1000,GQM,B0/256 duplicate,77000,1000,29;44,2,True,76900.0,76900.0,76900.0,2120.0,2110.0,2130.0,2465.0,389.09999999999997,386.9,391.29999999999995,3.8909999999999996,3.8689999999999998,3.9129999999999994,99.87012987012987,99.87012987012987,99.87012987012987,True,False,False
gqm:77000:B0/256 duplicate:10000,GQM,B0/256 duplicate,77000,10000,30;45,2,True,14950.0,13500.0,16400.0,15995.0,11400.0,20590.0,20710.0,67.75,65.7,69.80000000000001,0.6775,0.657,0.6980000000000001,19.415584415584416,17.532467532467532,21.2987012987013,False,False,False
gqm:77000:B1:1,GQM,B1,77000,1,31,1,True,77000.0,77000.0,77000.0,1390.0,1390.0,1390.0,2050.0,213.2,213.2,213.2,2.1319999999999997,2.1319999999999997,2.1319999999999997,100.0,100.0,100.0,True,False,False
gqm:77000:B1:10,GQM,B1,77000,10,32,1,True,77000.0,77000.0,77000.0,1360.0,1360.0,1360.0,2180.0,162.39999999999998,162.39999999999998,162.39999999999998,1.6239999999999997,1.6239999999999997,1.6239999999999997,100.0,100.0,100.0,True,False,False
gqm:77000:B1:100,GQM,B1,77000,100,33,1,True,77000.0,77000.0,77000.0,2290.0,2290.0,2290.0,2380.0,157.1,157.1,157.1,1.571,1.571,1.571,100.0,100.0,100.0,True,True,False
gqm:77000:B1:1000,GQM,B1,77000,1000,34,1,True,77000.0,77000.0,77000.0,2330.0,2330.0,2330.0,2410.0,157.3,157.3,157.3,1.5730000000000002,1.5730000000000002,1.5730000000000002,100.0,100.0,100.0,True,False,False
gqm:77000:B1:10000,GQM,B1,77000,10000,35,1,True,12400.0,12400.0,12400.0,10470.0,10470.0,10470.0,20500.0,26.8,26.8,26.8,0.268,0.268,0.268,16.103896103896105,16.103896103896105,16.103896103896105,False,False,False
