source_batch,source_index,value,concurrency,body_bytes,target_qps,cost_ns,cost_multiplier,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,baseline_tps,baseline_tp99_us,baseline_tp999_us,tps_retention_pct,tp99_amplification,tp999_amplification,tps_vs_c16_pct,tp99_vs_c16_pct
initial_matrix,1,0x0,1,1024,0,0,0.0,78800.0,70.0,110.0,172.2,176.9,349.1,3.491,22572.328845602977,60416,46080,1,OK,78800.0,70.0,110.0,100.0,1.0,1.0,11.016356773381798,100.0
initial_matrix,2,0x0,4,1024,0,0,0.0,255000.0,60.0,90.0,534.6,507.7,1042.3,10.423,24465.125203876043,96256,37888,1,OK,255000.0,60.0,90.0,100.0,1.0,1.0,35.64937788340556,85.71428571428571
initial_matrix,3,0x0,16,1024,0,0,0.0,715300.0,70.0,230.0,775.9,706.3,1482.1999999999998,14.821999999999997,48259.344218054255,227328,51200,1,OK,715300.0,70.0,230.0,100.0,1.0,1.0,100.0,100.0
initial_matrix,4,0x0,64,1024,0,0,0.0,801800.0,200.0,840.0,756.8,749.8,1506.6,15.065999999999999,53219.168989778314,269312,56320,1,OK,801800.0,200.0,840.0,100.0,1.0,1.0,112.09282818397875,285.7142857142857
c128_supplement,1,0x0,128,1024,0,0,0.0,807000.0,430.0,1180.0,763.0,875.7,1638.7,16.387,49246.3538170501,280576,64512,1,OK,807000.0,430.0,1180.0,100.0,1.0,1.0,112.81979588983643,614.2857142857143
initial_matrix,5,84x84,1,1024,0,84,0.25,71200.0,70.0,110.0,179.1,180.6,359.7,3.597,19794.27300528218,60416,46080,1,OK,78800.0,70.0,110.0,90.35532994923858,1.0,1.0,11.494995156603164,87.5
initial_matrix,6,84x84,4,1024,0,84,0.25,234300.0,70.0,110.0,549.1,511.9,1061.0,10.61,22082.940622054666,89088,47104,1,OK,255000.0,60.0,90.0,91.88235294117646,1.1666666666666667,1.2222222222222223,37.8269292864062,87.5
initial_matrix,7,84x84,16,1024,0,84,0.25,619400.0,80.0,390.0,763.5,684.1,1447.6,14.475999999999999,42788.06300082896,218112,50176,1,OK,715300.0,70.0,230.0,86.5930378862016,1.1428571428571428,1.6956521739130435,100.0,100.0
initial_matrix,8,84x84,64,1024,0,84,0.25,714700.0,220.0,870.0,755.4,739.0,1494.4,14.944,47825.21413276231,234496,55296,1,OK,801800.0,200.0,840.0,89.13694188076828,1.1,1.0357142857142858,115.38585728123991,275.0
c128_supplement,2,84x84,128,1024,0,84,0.25,727500.0,470.0,1780.0,760.7,847.9,1608.6,16.086,45225.66206639314,258048,67584,1,OK,807000.0,430.0,1180.0,90.14869888475836,1.0930232558139534,1.5084745762711864,117.45237326444946,587.5
initial_matrix,9,168x168,1,1024,0,168,0.5,68100.0,70.0,110.0,182.8,181.4,364.20000000000005,3.6420000000000003,18698.517298187806,58368,43008,1,OK,78800.0,70.0,110.0,86.42131979695432,1.0,1.0,11.575726670066294,77.77777777777777
initial_matrix,10,168x168,4,1024,0,168,0.5,225200.0,70.0,120.0,547.1,504.2,1051.3,10.513,21421.09768857605,91136,48128,1,OK,255000.0,60.0,90.0,88.31372549019608,1.1666666666666667,1.3333333333333333,38.279789223185446,77.77777777777777
initial_matrix,11,168x168,16,1024,0,168,0.5,588300.0,90.0,410.0,750.2,667.0,1417.2,14.172,41511.430990685854,209920,45056,1,OK,715300.0,70.0,230.0,82.24521179924507,1.2857142857142858,1.7826086956521738,100.0,100.0
initial_matrix,12,168x168,64,1024,0,168,0.5,667700.0,230.0,1030.0,752.8,721.4,1474.1999999999998,14.741999999999997,45292.36195902863,224256,55296,1,OK,801800.0,200.0,840.0,83.27513095535046,1.15,1.2261904761904763,113.49651538330784,255.55555555555554
c128_supplement,3,168x168,128,1024,0,168,0.5,719300.0,470.0,1520.0,761.5,847.3,1608.8,16.088,44710.34311287916,242688,66560,1,OK,807000.0,430.0,1180.0,89.13258983890954,1.0930232558139534,1.2881355932203389,122.26755056943736,522.2222222222222
initial_matrix,13,335x335,1,1024,0,335,1.0,59300.0,70.0,120.0,178.2,185.9,364.1,3.641,16286.734413622631,55296,44032,1,OK,78800.0,70.0,110.0,75.25380710659898,1.0,1.0909090909090908,11.730959446092978,53.84615384615385
initial_matrix,14,335x335,4,1024,0,335,1.0,208600.0,70.0,140.0,539.8,488.0,1027.8,10.277999999999999,20295.777388597005,84992,44032,1,OK,255000.0,60.0,90.0,81.80392156862744,1.1666666666666667,1.5555555555555556,41.26607319485658,53.84615384615385
initial_matrix,15,335x335,16,1024,0,335,1.0,505500.0,130.0,600.0,714.5,612.1,1326.6,13.265999999999998,38104.929895974674,188416,50176,1,OK,715300.0,70.0,230.0,70.66964909828044,1.8571428571428572,2.608695652173913,100.0,100.0
initial_matrix,16,335x335,64,1024,0,335,1.0,592900.0,260.0,1560.0,781.3,683.8,1465.1,14.651,40468.227424749166,202752,60416,1,OK,801800.0,200.0,840.0,73.9461212272387,1.3,1.8571428571428572,117.28981206726014,200.0
c128_supplement,4,335x335,128,1024,0,335,1.0,681600.0,490.0,1790.0,760.5,850.4,1610.9,16.109,42311.751194984165,247808,65536,1,OK,807000.0,430.0,1180.0,84.46096654275092,1.1395348837209303,1.5169491525423728,134.83679525222553,376.9230769230769
initial_matrix,17,670x670,1,1024,0,670,2.0,49300.0,80.0,120.0,184.4,188.1,372.5,3.725,13234.899328859061,58368,45056,1,OK,78800.0,70.0,110.0,62.56345177664975,1.1428571428571428,1.0909090909090908,12.458933535506697,36.36363636363637
initial_matrix,18,670x670,4,1024,0,670,2.0,168900.0,80.0,810.0,519.5,496.8,1016.3,10.163,16619.108530945585,76800,43008,1,OK,255000.0,60.0,90.0,66.23529411764706,1.3333333333333333,9.0,42.68385140257771,36.36363636363637
initial_matrix,19,670x670,16,1024,0,670,2.0,395700.0,220.0,940.0,652.0,590.4,1242.4,12.424000000000001,31849.645846748226,152576,49152,1,OK,715300.0,70.0,230.0,55.319446386131695,3.142857142857143,4.086956521739131,100.0,100.0
initial_matrix,20,670x670,64,1024,0,670,2.0,541000.0,280.0,1720.0,780.4,716.0,1496.4,14.964,36153.43491045175,201728,62464,1,OK,801800.0,200.0,840.0,67.47318533300074,1.4,2.0476190476190474,136.71973717462726,127.27272727272727
c128_supplement,5,670x670,128,1024,0,670,2.0,518500.0,620.0,1830.0,793.4,815.9,1609.3,16.093,32218.97719505375,210944,62464,1,OK,807000.0,430.0,1180.0,64.25030978934325,1.441860465116279,1.5508474576271187,131.03361132170838,281.8181818181818
initial_matrix,21,1340x1340,1,1024,0,1340,4.0,32400.0,90.0,120.0,196.7,209.2,405.9,4.059,7982.261640798226,50176,44032,1,OK,78800.0,70.0,110.0,41.11675126903553,1.2857142857142858,1.0909090909090908,11.933701657458563,31.03448275862069
initial_matrix,22,1340x1340,4,1024,0,1340,4.0,124800.0,90.0,1060.0,501.8,502.5,1004.3,10.043,12426.565767201037,71680,45056,1,OK,255000.0,60.0,90.0,48.94117647058823,1.5,11.777777777777779,45.966850828729285,31.03448275862069
initial_matrix,23,1340x1340,16,1024,0,1340,4.0,271500.0,290.0,1150.0,600.7,568.5,1169.2,11.692,23221.005815942524,94208,46080,1,OK,715300.0,70.0,230.0,37.95610233468475,4.142857142857143,5.0,100.0,100.0
initial_matrix,24,1340x1340,64,1024,0,1340,4.0,439000.0,340.0,2060.0,775.4,721.6,1497.0,14.97,29325.317301269202,167936,58368,1,OK,801800.0,200.0,840.0,54.751808431030184,1.7,2.4523809523809526,161.69429097605894,117.24137931034483
c128_supplement,6,1340x1340,128,1024,0,1340,4.0,433700.0,710.0,2400.0,794.4,777.6,1572.0,15.72,27589.058524173026,188416,66560,1,OK,807000.0,430.0,1180.0,53.74225526641884,1.6511627906976745,2.0338983050847457,159.74217311233886,244.82758620689654
initial_matrix,25,3350x3350,1,1024,0,3350,10.0,15400.0,130.0,160.0,255.3,245.8,501.1,5.011,3073.2388744761524,47104,40960,1,OK,78800.0,70.0,110.0,19.543147208121827,1.8571428571428572,1.4545454545454546,9.783989834815756,30.952380952380953
initial_matrix,26,3350x3350,4,1024,0,3350,10.0,53400.0,140.0,1080.0,490.4,499.5,989.9,9.899,5394.48429134256,53248,41984,1,OK,255000.0,60.0,90.0,20.941176470588236,2.3333333333333335,12.0,33.92630241423126,33.333333333333336
initial_matrix,27,3350x3350,16,1024,0,3350,10.0,157400.0,420.0,1240.0,577.3,559.0,1136.3,11.363,13851.975710639796,78848,45056,1,OK,715300.0,70.0,230.0,22.004753250384454,6.0,5.391304347826087,100.0,100.0
initial_matrix,28,3350x3350,64,1024,0,3350,10.0,176200.0,990.0,3200.0,717.2,611.5,1328.7,13.287,13261.082260856476,84992,52224,1,OK,801800.0,200.0,840.0,21.975555001247194,4.95,3.8095238095238093,111.9440914866582,235.71428571428572
c128_supplement,7,3350x3350,128,1024,0,3350,10.0,222300.0,1260.0,2860.0,794.5,657.6,1452.1,14.520999999999999,15308.8630259624,108544,59392,1,OK,807000.0,430.0,1180.0,27.54646840148699,2.9302325581395348,2.4237288135593222,141.23252858958068,300.0
