source_batch,source_index,value,concurrency,body_bytes,target_qps,cost_ns,tps_kops,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status
initial_matrix,1,0x0,1,1024,0,0,78.8,70.0,110.0,172.2,176.9,60416,46080,1,OK
initial_matrix,2,0x0,4,1024,0,0,255.0,60.0,90.0,534.6,507.7,96256,37888,1,OK
initial_matrix,3,0x0,16,1024,0,0,715.3,70.0,230.0,775.9,706.3,227328,51200,1,OK
initial_matrix,4,0x0,64,1024,0,0,801.8,200.0,840.0,756.8,749.8,269312,56320,1,OK
initial_matrix,5,84x84,1,1024,0,84,71.2,70.0,110.0,179.1,180.6,60416,46080,1,OK
initial_matrix,6,84x84,4,1024,0,84,234.3,70.0,110.0,549.1,511.9,89088,47104,1,OK
initial_matrix,7,84x84,16,1024,0,84,619.4,80.0,390.0,763.5,684.1,218112,50176,1,OK
initial_matrix,8,84x84,64,1024,0,84,714.7,220.0,870.0,755.4,739.0,234496,55296,1,OK
initial_matrix,9,168x168,1,1024,0,168,68.1,70.0,110.0,182.8,181.4,58368,43008,1,OK
initial_matrix,10,168x168,4,1024,0,168,225.2,70.0,120.0,547.1,504.2,91136,48128,1,OK
initial_matrix,11,168x168,16,1024,0,168,588.3,90.0,410.0,750.2,667.0,209920,45056,1,OK
initial_matrix,12,168x168,64,1024,0,168,667.7,230.0,1030.0,752.8,721.4,224256,55296,1,OK
initial_matrix,13,335x335,1,1024,0,335,59.3,70.0,120.0,178.2,185.9,55296,44032,1,OK
initial_matrix,14,335x335,4,1024,0,335,208.6,70.0,140.0,539.8,488.0,84992,44032,1,OK
initial_matrix,15,335x335,16,1024,0,335,505.5,130.0,600.0,714.5,612.1,188416,50176,1,OK
initial_matrix,16,335x335,64,1024,0,335,592.9,260.0,1560.0,781.3,683.8,202752,60416,1,OK
initial_matrix,17,670x670,1,1024,0,670,49.3,80.0,120.0,184.4,188.1,58368,45056,1,OK
initial_matrix,18,670x670,4,1024,0,670,168.9,80.0,810.0,519.5,496.8,76800,43008,1,OK
initial_matrix,19,670x670,16,1024,0,670,395.7,220.0,940.0,652.0,590.4,152576,49152,1,OK
initial_matrix,20,670x670,64,1024,0,670,541.0,280.0,1720.0,780.4,716.0,201728,62464,1,OK
initial_matrix,21,1340x1340,1,1024,0,1340,32.4,90.0,120.0,196.7,209.2,50176,44032,1,OK
initial_matrix,22,1340x1340,4,1024,0,1340,124.8,90.0,1060.0,501.8,502.5,71680,45056,1,OK
initial_matrix,23,1340x1340,16,1024,0,1340,271.5,290.0,1150.0,600.7,568.5,94208,46080,1,OK
initial_matrix,24,1340x1340,64,1024,0,1340,439.0,340.0,2060.0,775.4,721.6,167936,58368,1,OK
initial_matrix,25,3350x3350,1,1024,0,3350,15.4,130.0,160.0,255.3,245.8,47104,40960,1,OK
initial_matrix,26,3350x3350,4,1024,0,3350,53.4,140.0,1080.0,490.4,499.5,53248,41984,1,OK
initial_matrix,27,3350x3350,16,1024,0,3350,157.4,420.0,1240.0,577.3,559.0,78848,45056,1,OK
initial_matrix,28,3350x3350,64,1024,0,3350,176.2,990.0,3200.0,717.2,611.5,84992,52224,1,OK
c128_supplement,1,0x0,128,1024,0,0,807.0,430.0,1180.0,763.0,875.7,280576,64512,1,OK
c128_supplement,2,84x84,128,1024,0,84,727.5,470.0,1780.0,760.7,847.9,258048,67584,1,OK
c128_supplement,3,168x168,128,1024,0,168,719.3,470.0,1520.0,761.5,847.3,242688,66560,1,OK
c128_supplement,4,335x335,128,1024,0,335,681.6,490.0,1790.0,760.5,850.4,247808,65536,1,OK
c128_supplement,5,670x670,128,1024,0,670,518.5,620.0,1830.0,793.4,815.9,210944,62464,1,OK
c128_supplement,6,1340x1340,128,1024,0,1340,433.7,710.0,2400.0,794.4,777.6,188416,66560,1,OK
c128_supplement,7,3350x3350,128,1024,0,3350,222.3,1260.0,2860.0,794.5,657.6,108544,59392,1,OK
