source_index,value,concurrency,payload_bytes,target_qps,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,payload_peak_tps,payload_peak_concurrency,tps_vs_payload_peak_pct,tps_retention_vs_zero_payload_pct,tp99_amplification_vs_c64,tp999_amplification_vs_c64,tps_gain_vs_previous_concurrency_pct,tp99_change_vs_previous_concurrency_pct
1,0 × 1,1,0,0,-,22600.0,110.0,130.0,59.4,33.3,92.69999999999999,0.9269999999999999,24379.719525350596,33792,47104,1,OK,479900.0,256,4.7093144405084395,100.0,0.3793103448275862,0.3170731707317073,,
2,0 × 4,4,0,0,-,87300.0,130.0,160.0,117.8,104.8,222.6,2.226,39218.32884097035,52224,50176,1,OK,479900.0,256,18.19128985205251,100.0,0.4482758620689655,0.3902439024390244,286.283185840708,18.181818181818187
3,0 × 16,16,0,0,-,199800.0,190.0,240.0,226.1,223.3,449.4,4.494,44459.27903871829,77824,46080,1,OK,479900.0,256,41.63367368201709,100.0,0.6551724137931034,0.5853658536585366,128.86597938144328,46.153846153846146
4,0 × 64,64,0,0,-,454800.0,290.0,410.0,502.3,483.7,986.0,9.86,46125.76064908722,154624,52224,1,OK,479900.0,256,94.76974369660346,100.0,1.0,1.0,127.62762762762763,52.63157894736843
5,0 × 128,128,0,0,-,475900.0,470.0,810.0,535.3,514.5,1049.8,10.498,45332.444275100024,164864,57344,1,OK,479900.0,256,99.16649301937903,100.0,1.6206896551724137,1.975609756097561,4.639401934916454,62.06896551724137
6,0 × 256,256,0,0,-,479900.0,1020.0,1650.0,548.2,512.4,1060.6,10.606,45247.97284555912,180224,58368,1,OK,479900.0,256,100.0,100.0,3.5172413793103448,4.024390243902439,0.8405127127547818,117.02127659574467
7,0 × 512,512,0,0,-,468500.0,2120.0,2700.0,540.9,512.5,1053.4,10.534,44475.0332257452,236544,68608,1,OK,479900.0,256,97.62450510523026,100.0,7.310344827586207,6.585365853658536,-2.3754948947697474,107.84313725490198
8,0 × 1024,1024,0,0,-,456000.0,3160.0,4870.0,538.8,516.9,1055.6999999999998,10.556999999999999,43194.08922989486,340992,88064,1,OK,479900.0,256,95.01979579078974,100.0,10.89655172413793,11.878048780487806,-2.6680896478121663,49.0566037735849
9,0 × 2048,2048,0,0,-,444800.0,6180.0,9000.0,554.5,523.1,1077.6,10.776,41276.91165553081,644096,115712,1,OK,479900.0,256,92.68597624505105,100.0,21.310344827586206,21.951219512195124,-2.4561403508771895,95.56962025316456
10,84 × 1,1,84,0,-,22200.0,110.0,130.0,59.0,33.1,92.1,0.9209999999999999,24104.2345276873,39936,45056,1,OK,466900.0,256,4.754765474405654,98.23008849557522,0.3793103448275862,0.30952380952380953,,
11,84 × 4,4,84,0,-,86100.0,130.0,170.0,117.0,104.0,221.0,2.21,38959.27601809955,56320,43008,1,OK,466900.0,256,18.4407796101949,98.62542955326461,0.4482758620689655,0.40476190476190477,287.83783783783787,18.181818181818187
12,84 × 16,16,84,0,-,197800.0,190.0,240.0,227.9,224.7,452.6,4.526,43703.04904993372,78848,44032,1,OK,466900.0,256,42.364532019704434,98.998998998999,0.6551724137931034,0.5714285714285714,129.732868757259,46.153846153846146
13,84 × 64,64,84,0,-,449600.0,290.0,420.0,502.6,484.6,987.2,9.872,45542.94975688817,153600,52224,1,OK,466900.0,256,96.29470978796316,98.8566402814424,1.0,1.0,127.30030333670372,52.63157894736843
14,84 × 128,128,84,0,-,466500.0,490.0,950.0,527.6,513.3,1040.9,10.409,44816.98530118167,155648,54272,1,OK,466900.0,256,99.91432855001071,98.02479512502627,1.6896551724137931,2.261904761904762,3.758896797153022,68.96551724137932
15,84 × 256,256,84,0,-,466900.0,1050.0,1900.0,543.1,510.8,1053.9,10.539000000000001,44302.115950279906,183296,60416,1,OK,466900.0,256,100.0,97.29110231298188,3.6206896551724137,4.523809523809524,0.08574490889603492,114.28571428571428
16,84 × 512,512,84,0,-,457100.0,2180.0,3010.0,535.8,511.7,1047.5,10.475,43637.231503579955,239616,69632,1,OK,466900.0,256,97.90104947526237,97.5667022411953,7.517241379310345,7.166666666666667,-2.0989505247376306,107.61904761904763
17,84 × 1024,1024,84,0,-,444100.0,3270.0,4900.0,527.9,514.4,1042.3,10.423,42607.69452173079,353280,76800,1,OK,466900.0,256,95.1167273506104,97.39035087719299,11.275862068965518,11.666666666666666,-2.844016626558743,50.0
18,84 × 2048,2048,84,0,-,434400.0,6510.0,9380.0,539.9,524.1,1064.0,10.64,40827.06766917293,587776,117760,1,OK,466900.0,256,93.0391946883701,97.66187050359713,22.448275862068964,22.333333333333332,-2.1841927493807756,99.08256880733946
19,168 × 1,1,168,0,-,18000.0,160.0,190.0,49.2,26.8,76.0,0.76,23684.21052631579,34816,38912,1,OK,458100.0,256,3.9292730844793713,79.64601769911505,0.5333333333333333,0.4222222222222222,,
20,168 × 4,4,168,0,-,85900.0,130.0,170.0,117.0,102.7,219.7,2.197,39098.771051433774,54272,47104,1,OK,458100.0,256,18.751364330932113,98.39633447880871,0.43333333333333335,0.37777777777777777,377.22222222222223,-18.75
21,168 × 16,16,168,0,-,196600.0,190.0,240.0,224.4,223.9,448.3,4.4830000000000005,43854.56167744813,81920,46080,1,OK,458100.0,256,42.91639380048024,98.3983983983984,0.6333333333333333,0.5333333333333333,128.87077997671713,46.153846153846146
22,168 × 64,64,168,0,-,440400.0,300.0,450.0,495.9,480.5,976.4,9.764,45104.465383039744,154624,48128,1,OK,458100.0,256,96.13621480026195,96.83377308707124,1.0,1.0,124.00813835198372,57.89473684210527
23,168 × 128,128,168,0,-,456200.0,500.0,980.0,520.9,506.6,1027.5,10.275,44399.02676399027,156672,53248,1,OK,458100.0,256,99.58524339663829,95.8604748896827,1.6666666666666667,2.1777777777777776,3.5876475930971763,66.66666666666667
24,168 × 256,256,168,0,-,458100.0,1080.0,2110.0,537.8,506.0,1043.8,10.437999999999999,43887.71795363097,181248,57344,1,OK,458100.0,256,100.0,95.45738695561576,3.6,4.688888888888889,0.4164839982463864,116.00000000000001
25,168 × 512,512,168,0,-,446900.0,2220.0,3070.0,529.6,506.2,1035.8,10.357999999999999,43145.39486387334,227328,64512,1,OK,458100.0,256,97.55511896965729,95.38954108858057,7.4,6.822222222222222,-2.444881030342716,105.55555555555554
26,168 × 1024,1024,168,0,-,434800.0,3430.0,5100.0,525.1,510.6,1035.7,10.357000000000001,41981.26870715458,347136,77824,1,OK,458100.0,256,94.9137742850906,95.35087719298245,11.433333333333334,11.333333333333334,-2.7075408368762544,54.5045045045045
27,168 × 2048,2048,168,0,-,426700.0,6630.0,9930.0,536.7,521.5,1058.2,10.582,40323.19032319032,638976,109568,1,OK,458100.0,256,93.14560139707487,95.93075539568345,22.1,22.066666666666666,-1.8629254829806818,93.29446064139941
28,335 × 1,1,335,0,-,21300.0,110.0,130.0,57.2,32.8,90.0,0.9,23666.666666666668,44032,38912,1,OK,445400.0,128,4.782218230803772,94.24778761061947,0.36666666666666664,0.26,,
29,335 × 4,4,335,0,-,83200.0,130.0,170.0,117.2,102.5,219.7,2.197,37869.8224852071,56320,45056,1,OK,445400.0,128,18.67983834755276,95.30355097365407,0.43333333333333335,0.34,290.61032863849766,18.181818181818187
30,335 × 16,16,335,0,-,193500.0,200.0,250.0,225.1,223.5,448.6,4.486000000000001,43134.19527418635,76800,43008,1,OK,445400.0,128,43.44409519533004,96.84684684684684,0.6666666666666666,0.5,132.5721153846154,53.846153846153854
31,335 × 64,64,335,0,-,429600.0,300.0,500.0,488.9,484.0,972.9,9.729,44156.645081714465,154624,52224,1,OK,445400.0,128,96.45262685226763,94.45910290237467,1.0,1.0,122.01550387596897,50.0
32,335 × 128,128,335,0,-,445400.0,520.0,990.0,518.4,507.1,1025.5,10.255,43432.47196489517,153600,52224,1,OK,445400.0,128,100.0,93.5910905652448,1.7333333333333334,1.98,3.6778398510242116,73.33333333333334
33,335 × 256,256,335,0,-,444700.0,1120.0,2110.0,528.9,504.4,1033.3,10.333,43036.87215716636,176128,59392,1,OK,445400.0,128,99.84283789851818,92.66513857053553,3.7333333333333334,4.22,-0.15716210148181142,115.38461538461537
34,335 × 512,512,335,0,-,433600.0,2280.0,3240.0,524.2,505.3,1029.5,10.295,42117.53278290432,229376,67584,1,OK,445400.0,128,97.35069600359228,92.55069370330843,7.6,6.48,-2.4960647627614074,103.57142857142856
35,335 × 1024,1024,335,0,-,424000.0,3600.0,5330.0,519.2,513.2,1032.4,10.324000000000002,41069.352963967445,367616,86016,1,OK,445400.0,128,95.19533004041311,92.98245614035088,12.0,10.66,-2.2140221402214055,57.89473684210527
36,335 × 2048,2048,335,0,-,410000.0,7110.0,10450.0,536.5,517.2,1053.7,10.537,38910.505836575874,646144,110592,1,OK,445400.0,128,92.05208801077683,92.17625899280576,23.7,20.9,-3.301886792452835,97.50000000000001
37,670 × 1,1,670,0,-,15000.0,160.0,200.0,42.5,23.5,66.0,0.66,22727.272727272728,41984,40960,1,OK,413300.0,128,3.6293249455601257,66.3716814159292,0.48484848484848486,0.3508771929824561,,
