source_index,value,concurrency,payload_bytes,target_qps,cost_reported,tps_kops,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status
1,0 × 1,1,0,0,-,22.6,110,130,59.4,33.3,33792,47104,1,OK
2,0 × 4,4,0,0,-,87.3,130,160,117.8,104.8,52224,50176,1,OK
3,0 × 16,16,0,0,-,199.8,190,240,226.1,223.3,77824,46080,1,OK
4,0 × 64,64,0,0,-,454.8,290,410,502.3,483.7,154624,52224,1,OK
5,0 × 128,128,0,0,-,475.9,470,810,535.3,514.5,164864,57344,1,OK
6,0 × 256,256,0,0,-,479.9,1020,1650,548.2,512.4,180224,58368,1,OK
7,0 × 512,512,0,0,-,468.5,2120,2700,540.9,512.5,236544,68608,1,OK
8,0 × 1024,1024,0,0,-,456.0,3160,4870,538.8,516.9,340992,88064,1,OK
9,0 × 2048,2048,0,0,-,444.8,6180,9000,554.5,523.1,644096,115712,1,OK
10,84 × 1,1,84,0,-,22.2,110,130,59.0,33.1,39936,45056,1,OK
11,84 × 4,4,84,0,-,86.1,130,170,117.0,104.0,56320,43008,1,OK
12,84 × 16,16,84,0,-,197.8,190,240,227.9,224.7,78848,44032,1,OK
13,84 × 64,64,84,0,-,449.6,290,420,502.6,484.6,153600,52224,1,OK
14,84 × 128,128,84,0,-,466.5,490,950,527.6,513.3,155648,54272,1,OK
15,84 × 256,256,84,0,-,466.9,1050,1900,543.1,510.8,183296,60416,1,OK
16,84 × 512,512,84,0,-,457.1,2180,3010,535.8,511.7,239616,69632,1,OK
17,84 × 1024,1024,84,0,-,444.1,3270,4900,527.9,514.4,353280,76800,1,OK
18,84 × 2048,2048,84,0,-,434.4,6510,9380,539.9,524.1,587776,117760,1,OK
19,168 × 1,1,168,0,-,18.0,160,190,49.2,26.8,34816,38912,1,OK
20,168 × 4,4,168,0,-,85.9,130,170,117.0,102.7,54272,47104,1,OK
21,168 × 16,16,168,0,-,196.6,190,240,224.4,223.9,81920,46080,1,OK
22,168 × 64,64,168,0,-,440.4,300,450,495.9,480.5,154624,48128,1,OK
23,168 × 128,128,168,0,-,456.2,500,980,520.9,506.6,156672,53248,1,OK
24,168 × 256,256,168,0,-,458.1,1080,2110,537.8,506.0,181248,57344,1,OK
25,168 × 512,512,168,0,-,446.9,2220,3070,529.6,506.2,227328,64512,1,OK
26,168 × 1024,1024,168,0,-,434.8,3430,5100,525.1,510.6,347136,77824,1,OK
27,168 × 2048,2048,168,0,-,426.7,6630,9930,536.7,521.5,638976,109568,1,OK
28,335 × 1,1,335,0,-,21.3,110,130,57.2,32.8,44032,38912,1,OK
29,335 × 4,4,335,0,-,83.2,130,170,117.2,102.5,56320,45056,1,OK
30,335 × 16,16,335,0,-,193.5,200,250,225.1,223.5,76800,43008,1,OK
31,335 × 64,64,335,0,-,429.6,300,500,488.9,484.0,154624,52224,1,OK
32,335 × 128,128,335,0,-,445.4,520,990,518.4,507.1,153600,52224,1,OK
33,335 × 256,256,335,0,-,444.7,1120,2110,528.9,504.4,176128,59392,1,OK
34,335 × 512,512,335,0,-,433.6,2280,3240,524.2,505.3,229376,67584,1,OK
35,335 × 1024,1024,335,0,-,424.0,3600,5330,519.2,513.2,367616,86016,1,OK
