source_index,value,concurrency,payload_bytes,target_qps,cost_reported,tps_kops,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status
1,0 × 1,1,0,0,0,93.9,70,110,169.6,170.6,67584,43008,1,OK
2,0 × 4,4,0,0,0,302.6,60,80,529.5,497.7,107520,49152,1,OK
3,0 × 16,16,0,0,0,834.0,60,170,740.3,679.6,251904,50176,1,OK
4,0 × 64,64,0,0,0,956.4,150,380,761.8,737.8,307200,59392,1,OK
5,0 × 128,128,0,0,0,967.3,330,960,731.5,742.4,318464,73728,1,OK
6,0 × 256,256,0,0,0,970.9,720,2490,730.6,747.2,330752,93184,1,OK
7,0 × 512,512,0,0,0,938.2,1580,5150,730.4,750.8,371712,143360,1,OK
8,0 × 1024,1024,0,0,0,930.1,2980,9090,730.6,758.5,551936,236544,1,OK
9,0 × 2048,2048,0,0,0,866.5,11370,26270,729.1,766.3,943104,520192,1,OK
10,84 × 1,1,84,0,0,83.1,70,110,169.7,173.9,60416,44032,1,OK
11,84 × 4,4,84,0,0,269.2,60,80,526.0,498.9,94208,44032,1,OK
12,84 × 16,16,84,0,0,773.9,60,160,776.9,698.5,244736,54272,1,OK
13,84 × 64,64,84,0,0,892.5,160,490,760.6,742.8,285696,63488,1,OK
14,84 × 128,128,84,0,0,893.9,350,1070,761.8,746.4,300032,66560,1,OK
15,84 × 256,256,84,0,0,881.7,800,3680,760.3,741.5,318464,94208,1,OK
16,84 × 512,512,84,0,0,857.6,1770,5250,760.0,749.1,386048,141312,1,OK
17,84 × 1024,1024,84,0,0,831.0,3450,11330,757.5,754.3,546816,240640,1,OK
18,84 × 2048,2048,84,0,0,803.0,12950,24920,758.2,773.3,972800,512000,1,OK
19,168 × 1,1,168,0,0,82.7,70,110,170.5,173.6,60416,40960,1,OK
20,168 × 4,4,168,0,0,269.0,60,80,525.9,499.5,95232,47104,1,OK
21,168 × 16,16,168,0,0,766.7,50,180,776.5,698.1,247808,49152,1,OK
22,168 × 64,64,168,0,0,882.2,170,520,761.0,745.0,266240,58368,1,OK
23,168 × 128,128,168,0,0,884.1,360,1150,761.3,744.7,312320,68608,1,OK
24,168 × 256,256,168,0,0,870.2,830,3370,759.4,741.6,314368,96256,1,OK
25,168 × 512,512,168,0,0,843.9,1900,8770,756.6,749.8,380928,145408,1,OK
26,168 × 1024,1024,168,0,0,822.9,3700,11370,757.2,749.6,551936,232448,1,OK
27,168 × 2048,2048,168,0,0,780.9,13190,31520,755.5,770.8,985088,487424,1,OK
28,335 × 1,1,335,0,0,81.6,70,110,170.0,174.3,62464,43008,1,OK
29,335 × 4,4,335,0,0,266.8,60,80,527.6,500.7,95232,45056,1,OK
30,335 × 16,16,335,0,0,759.6,60,180,777.6,699.6,236544,52224,1,OK
31,335 × 64,64,335,0,0,869.3,170,580,760.2,744.6,291840,50176,1,OK
32,335 × 128,128,335,0,0,866.5,380,1190,759.6,745.8,293888,68608,1,OK
33,335 × 256,256,335,0,0,845.0,900,4050,756.6,745.9,313344,98304,1,OK
34,335 × 512,512,335,0,0,814.1,2180,7990,754.7,749.2,389120,151552,1,OK
35,335 × 1024,1024,335,0,0,796.3,4230,15740,754.5,751.3,578560,232448,1,OK
36,335 × 2048,2048,335,0,0,749.5,14260,29370,756.1,766.3,1027072,528384,1,OK
37,670 × 1,1,670,0,0,89.2,70,110,170.0,171.8,65536,44032,1,OK
38,670 × 4,4,670,0,0,286.2,60,90,531.0,501.1,105472,47104,1,OK
39,670 × 16,16,670,0,0,779.8,70,230,740.0,690.0,252928,47104,1,OK
40,670 × 64,64,670,0,0,885.2,180,730,756.7,741.3,269312,62464,1,OK
41,670 × 128,128,670,0,0,872.1,420,1550,755.2,747.3,272384,72704,1,OK
42,670 × 256,256,670,0,0,834.2,1200,4260,751.5,746.4,318464,95232,1,OK
43,670 × 512,512,670,0,0,794.9,3500,11420,746.2,747.3,374784,144384,1,OK
44,670 × 1024,1024,670,0,0,759.4,7120,21070,744.0,752.2,533504,249856,1,OK
45,670 × 2048,2048,670,0,0,709.6,16720,34840,750.1,759.3,972800,580608,1,OK
46,1340 × 1,1,1340,0,0,78.4,70,110,172.0,177.2,61440,40960,1,OK
47,1340 × 4,4,1340,0,0,251.6,60,90,537.4,509.5,97280,45056,1,OK
48,1340 × 16,16,1340,0,0,701.9,70,240,776.5,705.7,223232,49152,1,OK
49,1340 × 64,64,1340,0,0,787.0,210,890,756.3,745.5,260096,58368,1,OK
50,1340 × 128,128,1340,0,0,771.7,540,1670,752.6,747.2,265216,75776,1,OK
51,1340 × 256,256,1340,0,0,726.5,1650,4510,747.4,749.3,279552,99328,1,OK
52,1340 × 512,512,1340,0,0,693.3,4450,12520,743.1,755.3,347136,151552,1,OK
53,1340 × 1024,1024,1340,0,0,661.6,8970,22250,736.6,754.0,548864,240640,1,OK
54,1340 × 2048,2048,1340,0,0,613.0,21130,45530,745.5,760.8,1044480,663552,1,OK
55,3350 × 1,1,3350,0,0,79.2,70,110,173.8,179.6,59392,51200,1,OK
56,3350 × 4,4,3350,0,0,245.2,60,120,549.3,517.9,93184,48128,1,OK
57,3350 × 16,16,3350,0,0,638.8,80,450,774.7,723.7,208896,53248,1,OK
58,3350 × 64,64,3350,0,0,697.2,350,1320,745.9,762.8,214016,61440,1,OK
59,3350 × 128,128,3350,0,0,668.0,880,2770,743.7,762.8,237568,73728,1,OK
60,3350 × 256,256,3350,0,0,609.4,2330,6210,767.6,762.0,243712,102400,1,OK
61,3350 × 512,512,3350,0,0,566.3,6560,13560,761.0,760.5,344064,160768,1,OK
62,3350 × 1024,1024,3350,0,0,540.4,15210,23850,754.7,764.6,521216,261120,1,OK
63,3350 × 2048,2048,3350,0,0,486.0,32920,50570,768.6,750.1,1041408,718848,1,OK
64,0 × 1,1,0,0,0,93.5,70,110,169.3,169.9,61440,43008,1,OK
65,0 × 4,4,0,0,0,300.6,60,80,529.2,497.8,107520,45056,1,OK
66,0 × 16,16,0,0,0,834.1,60,170,739.9,679.0,250880,47104,1,OK
67,0 × 64,64,0,0,0,952.3,150,380,763.5,734.8,294912,58368,1,OK
68,0 × 128,128,0,0,0,977.6,320,900,731.7,744.1,312320,69632,1,OK
69,0 × 256,256,0,0,0,961.2,730,2010,731.8,745.8,343040,96256,1,OK
70,0 × 512,512,0,0,0,945.2,1560,5160,730.4,752.0,398336,143360,1,OK
71,0 × 1024,1024,0,0,0,923.3,3020,9660,728.6,758.0,560128,244736,1,OK
72,0 × 2048,2048,0,0,0,871.2,10780,21660,729.1,770.4,922624,506880,1,OK
