source_index,value,concurrency,body_bytes,target_qps,cost_reported,write_cost_ns,cost_multiplier,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,baseline_tps,baseline_tp99_us,baseline_tp999_us,tps_retention_pct,tp99_amplification,tp999_amplification
1,0x0,1,1024,0,0,0,0.0,78100.0,70.0,110.0,175.1,185.7,360.79999999999995,3.6079999999999997,21646.341463414636,59392,41984,1,OK,78100.0,70.0,110.0,100.0,1.0,1.0
2,0x0,4,1024,0,0,0,0.0,256500.0,60.0,90.0,533.5,514.7,1048.2,10.482000000000001,24470.520892959357,93184,45056,1,OK,256500.0,60.0,90.0,100.0,1.0,1.0
3,0x0,16,1024,0,0,0,0.0,730300.0,50.0,170.0,782.7,757.5,1540.2,15.402000000000001,47415.92001038826,241664,46080,1,OK,730300.0,50.0,170.0,100.0,1.0,1.0
4,0x0,64,1024,0,0,0,0.0,819000.0,190.0,610.0,759.5,849.8,1609.3,16.093,50891.6920400174,278528,51200,1,OK,819000.0,190.0,610.0,100.0,1.0,1.0
5,0x0,256,1024,0,0,0,0.0,794400.0,970.0,4460.0,761.9,897.0,1658.9,16.589000000000002,47887.1541382844,314368,96256,1,OK,794400.0,970.0,4460.0,100.0,1.0,1.0
6,0x0,512,1024,0,0,0,0.0,772000.0,2340.0,11030.0,761.4,924.1,1685.5,16.855,45802.432512607535,395264,138240,1,OK,772000.0,2340.0,11030.0,100.0,1.0,1.0
7,179x179,1,1024,0,0,179,0.25,78200.0,70.0,110.0,171.8,184.3,356.1,3.5610000000000004,21960.123560797525,62464,43008,1,OK,78100.0,70.0,110.0,100.1280409731114,1.0,1.0
8,179x179,4,1024,0,0,179,0.25,256500.0,60.0,90.0,533.6,515.2,1048.8000000000002,10.488000000000001,24456.521739130432,95232,45056,1,OK,256500.0,60.0,90.0,100.0,1.0,1.0
9,179x179,16,1024,0,0,179,0.25,729800.0,50.0,170.0,782.8,759.9,1542.6999999999998,15.426999999999998,47306.670123808915,242688,45056,1,OK,730300.0,50.0,170.0,99.93153498562235,1.0,1.0
10,179x179,64,1024,0,0,179,0.25,821600.0,190.0,600.0,759.6,845.5,1605.1,16.051,51186.84194131207,267264,61440,1,OK,819000.0,190.0,610.0,100.31746031746032,1.0,0.9836065573770492
11,179x179,256,1024,0,0,179,0.25,799500.0,960.0,3960.0,760.7,907.2,1667.9,16.679000000000002,47934.52844894777,308224,89088,1,OK,794400.0,970.0,4460.0,100.64199395770393,0.9896907216494846,0.8878923766816144
12,179x179,512,1024,0,0,179,0.25,783500.0,2300.0,10570.0,764.1,939.9,1704.0,17.04,45980.04694835681,364544,149504,1,OK,772000.0,2340.0,11030.0,101.48963730569949,0.9829059829059829,0.958295557570263
13,358x358,1,1024,0,0,358,0.5,78100.0,70.0,110.0,171.9,184.1,356.0,3.56,21938.20224719101,61440,33792,1,OK,78100.0,70.0,110.0,100.0,1.0,1.0
14,358x358,4,1024,0,0,358,0.5,257600.00000000003,60.0,90.0,534.3,514.8,1049.1,10.491,24554.37994471452,95232,44032,1,OK,256500.0,60.0,90.0,100.42884990253413,1.0,1.0
15,358x358,16,1024,0,0,358,0.5,729200.0,50.0,160.0,784.6,756.6,1541.2,15.412,47313.7814689852,244736,48128,1,OK,730300.0,50.0,170.0,99.84937696836916,1.0,0.9411764705882353
16,358x358,64,1024,0,0,358,0.5,812400.0,200.0,590.0,759.2,839.6,1598.8000000000002,15.988000000000001,50813.10983237428,274432,61440,1,OK,819000.0,190.0,610.0,99.1941391941392,1.0526315789473684,0.9672131147540983
17,358x358,256,1024,0,0,358,0.5,792900.0,960.0,4630.0,763.1,899.2,1662.3000000000002,16.623,47698.971304818624,311296,96256,1,OK,794400.0,970.0,4460.0,99.81117824773413,0.9896907216494846,1.0381165919282511
18,358x358,512,1024,0,0,358,0.5,778200.0,2320.0,11250.0,761.8,926.8,1688.6,16.886,46085.514627502074,367616,145408,1,OK,772000.0,2340.0,11030.0,100.80310880829016,0.9914529914529915,1.0199456029011786
19,716x716,1,1024,0,0,716,1.0,78200.0,70.0,110.0,172.0,184.6,356.6,3.5660000000000003,21929.332585530003,62464,40960,1,OK,78100.0,70.0,110.0,100.1280409731114,1.0,1.0
20,716x716,4,1024,0,0,716,1.0,256800.0,60.0,90.0,533.8,514.8,1048.6,10.485999999999999,24489.79591836735,96256,34816,1,OK,256500.0,60.0,90.0,100.11695906432749,1.0,1.0
21,716x716,16,1024,0,0,716,1.0,733900.0,50.0,160.0,783.4,760.5,1543.9,15.439,47535.4621413304,237568,51200,1,OK,730300.0,50.0,170.0,100.4929481035191,1.0,0.9411764705882353
22,716x716,64,1024,0,0,716,1.0,819500.0,190.0,650.0,757.7,853.7,1611.4,16.114,50856.39816308799,274432,56320,1,OK,819000.0,190.0,610.0,100.06105006105007,1.0,1.0655737704918034
23,716x716,256,1024,0,0,716,1.0,793100.0,970.0,4160.0,762.7,893.8,1656.5,16.565,47878.05614246906,322560,100352,1,OK,794400.0,970.0,4460.0,99.83635448136958,1.0,0.9327354260089686
24,716x716,512,1024,0,0,716,1.0,780700.0,2330.0,11140.0,763.2,930.5,1693.7,16.937,46094.34964869812,376832,150528,1,OK,772000.0,2340.0,11030.0,101.12694300518135,0.9957264957264957,1.0099728014505893
