source_index,value,concurrency,body_bytes,target_qps,cost_reported,write_cost_ns,tps_kops,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status
1,0x0,1,1024,0,0,0,78.1,70.0,110.0,175.1,185.7,59392,41984,1,OK
2,0x0,4,1024,0,0,0,256.5,60.0,90.0,533.5,514.7,93184,45056,1,OK
3,0x0,16,1024,0,0,0,730.3,50.0,170.0,782.7,757.5,241664,46080,1,OK
4,0x0,64,1024,0,0,0,819.0,190.0,610.0,759.5,849.8,278528,51200,1,OK
5,0x0,256,1024,0,0,0,794.4,970.0,4460.0,761.9,897.0,314368,96256,1,OK
6,0x0,512,1024,0,0,0,772.0,2340.0,11030.0,761.4,924.1,395264,138240,1,OK
7,179x179,1,1024,0,0,179,78.2,70.0,110.0,171.8,184.3,62464,43008,1,OK
8,179x179,4,1024,0,0,179,256.5,60.0,90.0,533.6,515.2,95232,45056,1,OK
9,179x179,16,1024,0,0,179,729.8,50.0,170.0,782.8,759.9,242688,45056,1,OK
10,179x179,64,1024,0,0,179,821.6,190.0,600.0,759.6,845.5,267264,61440,1,OK
11,179x179,256,1024,0,0,179,799.5,960.0,3960.0,760.7,907.2,308224,89088,1,OK
12,179x179,512,1024,0,0,179,783.5,2300.0,10570.0,764.1,939.9,364544,149504,1,OK
13,358x358,1,1024,0,0,358,78.1,70.0,110.0,171.9,184.1,61440,33792,1,OK
14,358x358,4,1024,0,0,358,257.6,60.0,90.0,534.3,514.8,95232,44032,1,OK
15,358x358,16,1024,0,0,358,729.2,50.0,160.0,784.6,756.6,244736,48128,1,OK
16,358x358,64,1024,0,0,358,812.4,200.0,590.0,759.2,839.6,274432,61440,1,OK
17,358x358,256,1024,0,0,358,792.9,960.0,4630.0,763.1,899.2,311296,96256,1,OK
18,358x358,512,1024,0,0,358,778.2,2320.0,11250.0,761.8,926.8,367616,145408,1,OK
19,716x716,1,1024,0,0,716,78.2,70.0,110.0,172.0,184.6,62464,40960,1,OK
20,716x716,4,1024,0,0,716,256.8,60.0,90.0,533.8,514.8,96256,34816,1,OK
21,716x716,16,1024,0,0,716,733.9,50.0,160.0,783.4,760.5,237568,51200,1,OK
22,716x716,64,1024,0,0,716,819.5,190.0,650.0,757.7,853.7,274432,56320,1,OK
23,716x716,256,1024,0,0,716,793.1,970.0,4160.0,762.7,893.8,322560,100352,1,OK
24,716x716,512,1024,0,0,716,780.7,2330.0,11140.0,763.2,930.5,376832,150528,1,OK
25,1432x1432,1,1024,0,0,1432,74.9,70.0,110.0,172.9,184.8,65536,43008,1,OK
26,1432x1432,4,1024,0,0,1432,254.0,60.0,90.0,535.6,518.2,96256,38912,1,OK
27,1432x1432,16,1024,0,0,1432,728.2,50.0,170.0,782.4,765.6,239616,49152,1,OK
28,1432x1432,64,1024,0,0,1432,819.3,190.0,540.0,759.6,844.7,267264,63488,1,OK
29,1432x1432,256,1024,0,0,1432,795.1,960.0,5380.0,763.2,906.5,314368,94208,1,OK
30,1432x1432,512,1024,0,0,1432,772.8,2310.0,12120.0,763.1,925.6,384000,144384,1,OK
31,2864x2864,1,1024,0,0,2864,57.3,70.0,120.0,175.1,192.8,54272,44032,1,OK
32,2864x2864,4,1024,0,0,2864,211.1,60.0,100.0,544.6,535.4,86016,41984,1,OK
33,2864x2864,16,1024,0,0,2864,638.7,50.0,160.0,789.8,755.7,211968,48128,1,OK
34,2864x2864,64,1024,0,0,2864,753.6,210.0,590.0,759.4,868.2,246784,51200,1,OK
35,2864x2864,256,1024,0,0,2864,754.8,1020.0,4550.0,762.0,941.4,295936,95232,1,OK
36,2864x2864,512,1024,0,0,2864,673.5,2560.0,11650.0,764.3,875.4,345088,137216,1,OK
37,7160x7160,1,1024,0,0,7160,36.5,80.0,120.0,176.6,201.2,54272,38912,1,OK
38,7160x7160,4,1024,0,0,7160,130.2,70.0,110.0,572.9,570.2,70656,40960,1,OK
39,7160x7160,16,1024,0,0,7160,488.5,70.0,170.0,793.8,897.9,192512,49152,1,OK
40,7160x7160,64,1024,0,0,7160,545.5,290.0,950.0,793.4,898.9,195584,55296,1,OK
41,7160x7160,256,1024,0,0,7160,404.3,1780.0,5370.0,797.5,935.2,224256,93184,1,OK
42,7160x7160,512,1024,0,0,7160,532.5,2960.0,12730.0,796.1,972.2,332800,137216,1,OK
